Job role,Company,Location,Experience Level,Posted time ago,Job Type,Job Function category,Industry Category,Job Description
Architectural Sales Manager,USG,"Oakville, Ontario, Canada",Not Applicable,3 days ago,Other,Sales and Business Development,Wholesale Building Materials,"Architectural Sales ManagerCGC Inc. is a leading marketer, manufacturer and distributor of gypsum wallboard products, interior finishing material and suspended acoustical ceilings. With locations around the world, CGC and USG have the resources, plants, products, and people to build walls, ceilings, and careers.CGC Inc. is currently recruiting an Architectural Sales Manager for our corporate Ceilings Sales Department, based in Oakville, ON; Montreal, QC; Calgary, AB; or Vancouver, BC.It's a permanent and full-time position, offering a challenging opportunity for a motivated individual to demonstrate their sales and technical abilities within a large corporation.Position SummaryThis position has overall responsibility for managing the CGC relationship with the Architectural and General Contractor community in Canada. Manages and develops Architectural Sales Representatives, training them in their current assignment and preparing them for future promotional opportunities and changing market conditions. The position will collaborate with the Gypsum & Ceilings sales organizations to determine the best allocation of architectural support between the two organizations.Key Duties and Responsibilities· Hire, retain, manage, coach, and develop assigned Architecture Sales Representatives.· Monitor conversion and inclusion of specifications and track major projects.· Coordinate resource allocation of architecture and general contractor support between Architectural, Ceilings and Gypsum Division.· Maintain high level relationships at key members of the construction team, including owner representatives, architects, general contractors, construction managers, subcontractors and distributors.· Implement and lead sales strategies to attain specification parity with competition.Business and Market Knowledge· Fully understands CGC and USG’s critical challenges and leads the effort to address them while leveraging CGC and USG’s competitive strengths.· Leverages a broad array of company and industry informational resources to address key business issues.· Accurately summarizes business and financial data, and consistently applies that information.· Chooses the course of action that targets the most critical issues and has the greatest impact on the business.· Takes clear and decisive action in high-stakes situations and crisis, and conditions of uncertainty.· Creates a climate supportive of candid communication and collaboration.· Proactively solicits diverse perspectives and leverages them to build best practices.· Attends to and demonstrates understanding of key pieces of complex spoken information, extracts relevant information from presentations on highly complicated topics.· Accurately anticipates customer needs and proactively meets/exceeds expectations and requirements of external and internal customers.· Promotes the rules of ethical conduct in interactions with others, follows through on commitments.Qualifications:· Demonstrated leadership and organizational skills.· Results oriented, proven track record of data driven success.· Strong interpersonal and communication skills· Experience within the building materials/architectural/construction community.Education· Bachelor’s degree in business or a related field.Years of Experience· Five (5) to ten (10) years of functional experience in Management, Sales, or similar functional area.Required Skills· Good understanding of customer dynamics in the Architectural or Construction community· Able to work through ambiguity.· Cross-functional understanding of CGC and USG businesses and functions.· Experience as a People Leader.· Participation in cross functional task forces or teams.What We OfferCGC offers competitive base salaries and cash incentive awards, comprehensive benefits, and financial protection for employees and their families. Our Employee Group Benefits Plan (extended health care and dental care) begins on your first day of work!· Extended health care (including prescription drugs, vision, and paramedical professional services)· Dental care (includes both preventative care and major dental work)· Short-term and long-term disability· Life insurance· Retirement plan- contributory defined benefit plan· Investment plan- defined contribution plan with options to contribute to a Registered Retirement Savings Plan (RRSP) and/or a non-registered savings plan.· Incentive Plan- cash payments based on target achievement are earned quarterly or annually, depending upon the plan.· Vacation time- between four and seven weeks paid vacation based on length of continuous service.· Employee Assistance Program (EAP)· Wellness Program offers fitness club memberships at a special reduced rate, health coaching, nutrition support, smoking cessation services, and much more.· Rewards and Recognition ProgramWe understand the importance of balancing work and your personal life and will help you make your best contribution in both.At CGC Inc. we go the distance to provide The Better Way. Delivering building solutions for customers worldwide is our goal. Relationships are our foundation. Integrity, Dependability, and Innovation are the standards by which we live.CGC Inc. is an equal opportunity employer committed to promoting diversity of thought, ideas, perspective, and people. We create an inclusive environment that attracts, retains and values people of all backgrounds by treating all people in a way that allows them to maintain their dignity and independence through inclusion, integration, and equal opportunity. We are committed to meeting the needs of those who interact with CGC, Inc. in accordance with Federal and provincial laws. Information regarding applicant accessibility may be found on the Accessibility section of our website."
Assistant Property Manager - 2-Person Team,Realstar Management,"Toronto, Ontario, Canada",Mid-Senior level,2 days ago,Full-time,Sales and Management,Real Estate,"We are currently seeking an Assistant Property Manager 2 person team to live and work at one of our properties. This position would require you to live on-site and work four weekdays each week, every second weekend and on-call some evenings.This position would require you to live onsite and share a suite with your teammate.What We Offer To Employees Competitive salary Shared rent-free, two-bedroom apartment Employer paid benefits Quarterly bonuses based on property performance Annual bonuses based on personal performance Extensive and ongoing training programs and a work-smart environment Gym membership discount Awards for years of service Opportunity for career development Inclusive and diverse work environment Annual holiday parties & summer BBQ’s The Opportunity Realstar is a leading residential property management company with over 160 properties across Canada. Our properties are clean, quiet and attract quality residents who will attest to our unique standards of service. Assistant Property Managers play an important role in the successful operation of a residential rental building under our management.Key Responsibilities Of Assistant Property Managers Cleaning common areas of property (hallways, stairs, elevators) Minor maintenance repairs Preparing apartments for new residents Providing exceptional customer service to residents and potential residents Assisting with leasing suites Responding to on-call requestsRequirements Of Assistant Property Managers Cleaning experience Minor maintenance skills Customer service skills Ability to perform in a team environment Ability to work some evening and weekends.#RSTo apply for this position please send resumes to   careers@realstar.ca We thank all those who apply, but only those selected for an interview will be contacted.Realstar is committed to reflecting the diverse communities we serve. We encourage applications from our diverse communities, including Indigenous Peoples, persons with disabilities, women, visible minorities, LGBTQ+ persons and those who are able to speak fluently in a language(s) other than English.Realstar supports equal opportunity initiatives. Accommodation will be provided in all stages of the hiring process. Contact us for any accommodation requests, and we will work with you to meet your needs.Apply Now"
Architectural Sales Representative,Alumax Panel,"Aurora, Ontario, Canada",Entry level,4 days ago,Full-time,Sales,Construction,"Architectural Sales Representative - Aluminum Building Materials (Cladding).Job Title: Architectural Sales Representative - Aluminum Building Materials (Cladding).Location: Aurora, Ontario.Company Overview: Alumax Panel, a leading Canadian entity in the domain of Aluminum Architectural Cladding Solutions, is seeking a dynamic Architectural Sales Representative to join our team. With a strong commitment to R&D and a collaboration with an S&P 500 American company, we are at the forefront of innovative cladding solutions. Our flagship product, Altalyte, is setting new benchmarks in the industry for fire protection and sustainability.Job Summary: As an Architectural Sales Representative, you will play a pivotal role in expanding our presence in the market, focusing on architects, developers, ACM fabricators, and installers. You will be the driving force behind introducing our groundbreaking product, Altalyte, and other aluminum decorative materials to these key sectors.Key ResponsibilitiesGenerate new leads and manage existing accounts to grow Alumax Panel’s market share.Provide technical presentations and product demonstrations to architects and developers.Organize and conduct 'Lunch and Learn' sessions to educate clients about our products.Attend industry events, fostering relationships and enhancing brand visibility.Deliver insights and strategies for presenting our materials effectively in the market.Collaborate with internal teams to align sales strategies with company goals.Contribute to continuous improvement by providing feedback from field experiences.QualificationsProven sales experience in the building materials industry.Strong technical knowledge of cladding materials.Established relationships with architects, builders, and related industry professionals.Excellent communication, negotiation, and presentation skills.Ability to work independently and as part of a team.Willingness to travel as required.Performance MetricsSuccess in this role will be measured through a variety of metrics including client meetings scheduled, new prospect development, and contribution to quarterly sales targets.Our expectation is a proactive approach to market engagement and a consistent drive for business development.What We OfferA competitive salary with performance-based incentives.Opportunities for professional growth and development within a dynamic and innovative company.A collaborative and supportive work environment.Application Process: Qualified candidates are invited to submit their resume and cover letter detailing their experience and suitability for the role.About Alumax Panel Inc.Alumax Panel has a rich history of experience in the construction industry and has been involved in the development of many commercial properties, both interior and exterior -. We not only supply materials but have facilitated and developed custom fabrication based on our client’s needs. We provide full end-to-end services that include, aluminum product supply, consultation and design, customization and fabrication, and product Installation. We pride ourselves on being pioneers in the supply, design, fabrication, installation and implementation of modern designs using aluminum composite panels in custom-made homes, and large-scale residential and commercial buildings."
Dishwasher,Broadstreet Properties,"Campbell River, British Columbia, Canada",Entry level,2 days ago,Full-time,Management and Manufacturing,Internet Publishing,"Are you customer service oriented with a great work ethic? Do you like to keep busy and stay organized? If so, join us as our new in-office cafeteria dishwasher working Monday to Friday!Your contributions to the team include:Ensuring the cleanliness of dishwareKeeping the dish machine clean and reporting any functional or mechanical problems to the kitchen supervisorMonitoring dish machine water temperature and chemical levels to ensure sanitary wash cycleWashing and storing all tableware and kitchenwareTransporting dishes to and from kitchen to cafeteriaCommunicating between the cafeteria and cooksKeeping trash levels low throughout the day in both kitchen and cafeteriaAssisting cooks with food preparation and help keeping the kitchen in an orderly fashionKeeping dish room clean and organizedSweeping and washing floors at the end of the dayTaking out all recycling at end of dayDoing laundry as needed for kitchen and cafeteria, folding and putting awayCompleting opening and closing checklistsAssisting as neededWhat you need to be successful:Minimum 1 year experience working in catering, or fast paced kitchenWorking experience in the hospitality industry preferredCurrent certification in FoodSafe Level 1Ability to use and care for food preparation equipmentAbility to establish and maintain effective working relationships with team members and co workersAbility to work independently in a fast-paced environmentAbility to stand for extended periods of timeWhy Broadstreet?Broadstreet Properties Ltd. is a family owned and operated property management company, partnered with Seymour Pacific Developments, that manage multi-family residential communities. We are a growing organization made up of diverse team members who are motivated to continuously innovate our approach to asset management. We consider employee wellbeing a priority and are dedicated to protecting the health and safety of our teams while ensuring a workplace that is respectful of everyone.Broadstreet Properties Ltd. practices equal opportunity hiring and onboarding processes to ensure equal access and participation for everyone. We understand that we have a responsibility for ensuring a safe, dignified, and welcoming environment and we are committed to creating an inclusive environment for all employees irrespective of race, colour, religion, sexual orientation, gender identity, or any other status protected by law. We believe in integrating people with disabilities into our workforce by removing barriers and meeting accessibility needs.Powered by JazzHR7LohxzDQuq"
Junior Architectural Technologist (Summer Student 2024),Zeidler Architecture,"Calgary, Alberta, Canada",Internship,1 day ago,Internship,Design,Architecture and Planning,"Who We AreAs a leading Canadian architectural practice, Zeidler designs meaningful spaces that contribute to community and deliver lasting value. With offices in Toronto, Calgary, Vancouver and Victoria, we offer full architectural and interior design services.Propelled by curiosity and driven by human connection, our creative process is based on cultivating the potential of our team. We nurture our expertise through mentorship and continuous learning. We listen to, consider, and build on each other’s ideas to develop thoughtful solutions that address complex challenges.?Our award-winning work spans a broad range of sectors including academic, healthcare, residential, mixed-use, commercial, cultural and civic. As we continue to grow our national practice, we are seeking talented individuals who embrace creative, passionate, and forward-thinking approaches to join our dynamic team.The Zeidler ExperienceZeidler Architecture’s Calgary Studio is now looking to bring on a summer student from the Architectural Technologist program to support very exciting ongoing projects and build on their work experience.Design focused firm with innovative technical expertiseDiversity of project types including commercial, health care, institutional, entertainment, hospitality and a full range of international projectsCollaborative studioVibrant mentorship program with knowledgeable and understanding mentorsParticipate and gain knowledge in all aspects of practiceSocial gathering and townhall events for staff and studentsOvertime pay for hours worked beyond 37.5 hours per weekJob Responsibilities and Skills Gained:Participation in the preparation of drawing packages for various permit submission and/or construction documentationProduct research including building components and systemsCollaboration within a team Management of timing and deadlinesWhat You Will BringStrong knowledge with Rhino, AutoCAD, Revit, SketchUp and Adobe Creative SuitesVibrant and professional demeanorSelf-starter, highly motivated and ability to work with minimal supervisionExcellent interpersonal and communication skillsAbility to handle multiple tasks with organization and efficiencyAbility to work both independently and with a team on tight deadlinesStrong attention to detailBenefits + Perks Zeidler believes in a work-life balance and valuing our people with benefits like:PATO Days – enjoy an extra day off on long weekends Wellness initiatives Mentorship and continuous learning Social events Fun work environment and great firm culture… and so much more What To Do NowIf you are a motivated, creative, and inspired individual who has the ambition to grow and enjoys working in a collaborative, exciting, and fast-paced environment surrounded by challenging opportunities, we would like to hear from you. Please apply here!Zeidler is committed to equal opportunity for all employees and applicants, and stand by our principles for a diverse, equitable and inclusive workplace. Applications from all qualified candidates are welcome and we encourage applications from, but not limited to visible minorities, peoples with disabilities, racialized peoples, Indigenous peoples, and persons of all sexual orientations and gender identities. Please let us know if you require any accommodations throughout the interview process. We will make all reasonable efforts to accommodate."
Foreman,Chandos Construction,"Edmonton, Alberta, Canada",Mid-Senior level,1 day ago,Full-time,Other,Construction,"Company DescriptionWe are 100% employee owned. Every person who works for Chandos can become an owner. There is only one class of units at Chandos, because we believe everyone should be treated equal. We talk about being an entrepreneurial-minded organization and you can be sure we mean it!Competitive wagesWell rounded employer paid benefits program including health, dental, vision care and employee assistance programRRSP matching program to aid and prepare employees for long-term financial securityEducational assistance for employees who wish to pursue job-performance enhancing educationRecognition and annual salary reviews programLeadership conferences that allow employees to connect and collaborateRegular company-wide engagement opportunitiesInternal employee rewards programEmployee referral programChandos is an equal opportunity employer and we are committed to a diverse, equitable, and inclusive culture and this includes our recruitment and hiring process.We recognize that our differences are our greatest strengths. We uncover talent. We nurture talent. And then we give people the tools they need to use their talent to create a positive impact.Job DescriptionThe Foreman aids the Superintendent in managing all field and site-specific construction activities, including budget, schedule, performance, subtrades, and profitability of commercial construction projects. This person must be able to communicate effectively with the Superintendent, Project Manager and other field staff. The Foreman is responsible for helping to provide direction and lead Chandos staff in the field.Assist the Superintendent in providing leadership and direction for all project activities and tasks, ensuring project outcomes are delivered successfully and in compliance with all contracts and client needsAssist the Superintendent to identify and generate requests for informationAssist the Superintendent in planning, organizing and managing all site construction manpower and materials, including site layout and setupAssist the Superintendent with completion of required documentation, including: superintendent’s daily log, safety documentation, timesheets, invoices, labour quantities, packing slips, purchase orders, and site photosAssist the Superintendent to monitor productivities throughout the project life cycle for potential opportunities and losses. Make corrections to maximize gains and mitigate against lossesManage subcontractor relationships within assigned projects to maintain timelines and scope of work, and meet contact obligationsMaximize landfill waste diversion on all projects, and manage construction sites in a sustainable fashion, continuously minimizing Chandos’ impact on the environmentQualificationsRed Seal Journeyman Carpenter certificationCommercial construction experienceFinish Carpentry experience an assetMust have at least 2 years experience as a supervisorAble and willing to work out of townLeadership and organizational skillsAdditional InformationWe are ChandosInclusion, collaboration, innovation and courage.These values speak to our desire to create places where all people belong, listening and learning from one another in a way that sparks ideas and leads to positive changes in our industry and community. They also demonstrate our commitment to a diverse, equitable, and inclusive culture. And, if they resonate with you too, we should talk!We are 100 percent employee owned and proud to be the first and largest B Corp certified national technical builder in North America, meaning we put our values at the centre of everything we do.Continuous improvement is core to our success. Championing innovative and collaborative ways to build is just one example of that. Collaborative construction leads to more efficiency, cost savings, social value, and a much better working experience for everyone.Every day, our teams are working to build places for people to live, work, learn, serve, and play. But above all, we’re building community. And, we’re looking for like-minded people to join us. Together, we can build a better world.Chandos only accepts applications through our portal from individuals. All resumes and applications submitted by an agency or consulting firm will be disqualified from our recruitment process."
Junior Project Architect (Construction),OTT Financial Group,"Toronto, Ontario, Canada",Entry level,3 days ago,Full-time,"Design, Art/Creative, and Information Technology",Financial Services,"OTT Properties & Development Group, a member company of OTT Financial Group, is a fast-growing developer converting OTT's vast land reserves in Ontario into commercial, residential, and industrial properties.OTT Financial Group is the parent organization of a group of financial services and investment companies. We leverage cutting-edge fintech innovations to bring excellent financial advice and best-in-class wealth management to our customers and business partners. Empowering 10,000+ merchants and hundreds of thousands of individual clients across Canada, we are the home to a wealth of expertise in forex and securities trading, mobile and cross-border payment, and investment fund management.We are looking for a Junior Project Architect (Construction) to support our business growth in Toronto. The Junior Project Architect (Construction) will work within the team to develop architectural plans and designs for residential and commercial projects, utilizing their expertise in industry-standard software. This is a full-time, permanent position based at our Leslie St Head Office.What’s In It For You Salary Range: $50 – 90K (based on experience) Extended Health, Dental, and Vision Benefits Life and Disability Insurance Performance Bonus Vacation Leave  Centrally located modern and spacious offices close to Eglinton and Leslie Free use of onsite Gym and Sports Facilities, and regular Company Social Events  Learning and Professional Development Support A chance to work in a dynamic, collaborative, progressive and high performing team. Community involvement through the annual Terry Fox Run Tremendous opportunities for Growth and DevelopmentHow You Will Contribute Architectural Design and Development: Create architectural plans and blueprints for buildings and structures. Site Assessment: Conduct site visits to evaluate existing conditions and gather essential information. Detailed Visualization: Utilize CAD software like Revit and 3ds Max to produce detailed drawings, models, and renderings. Construction Documentation: Prepare comprehensive construction documents, including specifications and materials lists. Regulatory Compliance: Ensure adherence to building codes, regulations, and zoning laws. Project Coordination: Collaborate with engineers, contractors, and other professionals to coordinate project execution. Construction Support: Provide guidance and support during the construction phase to maintain alignment with design intent. All other duties as assigned.What You Bring To The Table 3-5 years experience in architectural design within Architectural or Design Consultancy Firms Must have experience working on large scale and complex projects including addition and alterations, new build and preservation projects for low to high rise residential and commercial projects. Ability to read and interpret architectural plans and knowledge of the Ontario Building Code & appropriate standards including experience with permitting processes. Architectural designation, Licensed Architect is a must.  College diploma, university degree or combined academic background/experience in architectural design, project management, and construction.  Proficiency in different software including CAD software (AutoCAD, Revit), Sketchup, Adobe Creative Suite, and other related software. Knowledge of appropriate legislation including Occupational Health & Safety Act and Employment Standards Above average technology skills (Outlook, MS Word, Excel, Project Management software, Text, Email) Excellent verbal and written communication skills, which are important in performing many of their duties, such as relaying information, preparing reports, and interacting with members of the organization. Able to collaborate appropriately with build-team members and management. Able to act with integrity, credibility, self-confidence, take initiative, be self-directed, and prioritize work. This is not a hybrid or remote position. The successful candidate will be working at our Leslie Street Head Office, Mon to Fri 900am to 530pm.Visit our careers’ page and apply now.OTT Financial Group is committed to fostering an inclusive and accessible environment where all employees feel valued and respected, and where every employee can realize their potential. We are committed to providing reasonable accommodation, if required, and will work with you to meet your needs. We appreciate all applicants for their interest; however, only those candidates selected for an interview will be contacted."
Intern Architect,Zeidler Architecture,"Calgary, Alberta, Canada",Associate,4 days ago,Full-time,Design,Architecture and Planning,"Who We AreAs a leading Canadian architectural practice, Zeidler designs meaningful spaces that contribute to community and deliver lasting value. With offices in Toronto, Calgary, Vancouver and Victoria, we offer full architectural and interior design services.Propelled by curiosity and driven by human connection, our creative process is based on cultivating the potential of our team. We nurture our expertise through mentorship and continuous learning. We listen to, consider, and build on each other’s ideas to develop thoughtful solutions that address complex challenges.?Our award-winning work spans a broad range of sectors including academic, healthcare, residential, mixed-use, commercial, cultural and civic. As we continue to grow our national practice, we are seeking talented individuals who embrace creative, passionate, and forward-thinking approaches to join our dynamic team.What We Are SeekingAs an experienced Intern Architect at Zeidler, you will actively contribute to the design, delivery and coordination of all phases of the project from pre-design to site administration. This will include responsibility for architectural drawings, design integration/strategies and planning requirements. Collaboration is a key component of this role and will involve consultant coordination, client relations and strong project communication.Timely completion of creative and/or technical and/or administrative tasks throughout the building design process from pre-design phase, programming, conceptual design, design development, contract documentation, tender phase and site administration to project completionContribute to establishing, maintaining and adhering to project budget and scheduleTake an active role in the creation of design concepts or client relations through the design process and consultant coordination through project development or contract documents and/or site administration under the supervision of the Partner in ChargeDevelopment of contract drawing and specification procedures and completion of design/contract documents to relevant office, development bylaw, and building code standardsDevelop the practice of basic office administration procedures including the creation of relevant project documentation: minutes of meetings, transmittal of project material, applications to authorities etc. and filing systems by all project staff to organize of all related project information and correspondenceContribute to project and office management related activities including project scheduling and budget assessment, fee proposals, marketing RFPs, the creation of work plans and the direction of project team memberWhat You Will BringDegree in Architecture from a recognized post-secondary institutionRegistered with AAA, or another Canadian architectural association4+ years of related experienceAssure project compliance with architectural office procedures and related architectural drawing standardsContribute to the building design process from conceptual design to contract documents and site administrationFull knowledge of local construction systems and related detailing including the integration of sustainable building design criteriaExperience with local city development and building permit process requiredStrong conceptual and design skills – creative drawing ability, 3D modeling and freehand sketch skills requiredTechnical drawing ability within Revit and CAD requiredAbility to work in an open, collaborative workplace environmentBenefits + Perks Zeidler believes in a work-life balance and valuing our people with benefits like:PATO Days: enjoy an extra day off on long weekends Competitive compensation and benefits Annual profit shareWellness initiatives Training & education supportMentorship and continuous learning Social events Fun work environment and great firm culture; and so much more What To Do NowIf you are a motivated, creative, and inspired individual who has the ambition to grow and enjoys working in a collaborative, exciting, and fast-paced environment surrounded by challenging opportunities, we would like to hear from you. Please apply here!Zeidler is committed to equal opportunity for all employees and applicants, and stand by our principles for a diverse, equitable and inclusive workplace. Applications from all qualified candidates are welcome and we encourage applications from, but not limited to visible minorities, peoples with disabilities, racialized peoples, Indigenous peoples, and persons of all sexual orientations and gender identities. Please let us know if you require any accommodations throughout the interview process. We will make all reasonable efforts to accommodate."
Visual Merchandiser- The Brick,The Brick,"Windsor, Ontario, Canada",Entry level,1 day ago,Full-time,Marketing and Sales,Retail,"Do you have a flair for color and design?Do you love to create easy living spaces?Do you love a physical job that will keep you busy?The Brick is actively seeking to expand our visual merchandising team. We need enthusiastic people with a great eye for design and desire to create amazing displays that feel like home! The winning combination of team spirit and desire for career focused growth will ensure a rewarding experience in one of our fabulous retail locations!Maintain all merchandise and accessory displays on the showroom floor Arrange home furnishings and vendor displays in an attractive manner designed to enhance the appeal to purchase Create and implement new and innovative merchandising strategies Construct and implement visual presentation display for promotions and events Track and maintain inventory accuracyHigh school diploma or equivalent; post secondary education in a related field would be an asset Have an eye/passion for interior decoratingDetail orientedAbility to work alone as well as part of a teamBasic computer skillsGreat communication skillsA flexible and comprehensive benefits package, including Health, Dental and Paramedical Services for you and your familyCompetitive remuneration package that will commensurate with experienceCareer progression potential with plenty of access to ongoing personal and professional developmentEmployee discountsA dynamic environment to showcase your leadership talents.Apply nowIf you’d like to apply for this role, please contact our recruitment team at careers@thebrick.comAttach your CV and tell us why you would be a great fit at The Brick!The Brick is committed to fair and accessible employment practices and will accommodate people with disabilities throughout the recruitment, application, and selection process. If you require an accommodation at any stage of the process, please let the hiring manager know or reach out to hrhires@thebrick.com"
New Home Builders Site Superintendent,Ironstone Home Builders Inc.,"Edmonton, Alberta, Canada",Mid-Senior level,1 day ago,Full-time,"General Business, Management, and Business Development",Construction,"Job DescriptionSmall volume homebuilder is currently seeking a residential site superintendent to join their team in Edmonton. Successful candidate was spent 60% of their time supervising all aspects of her new home construction and 40% of their time conducting minor repairs to customer occupied home. Work will be primary based out of West Edmonton andSt.Albert. Ideal candidate must pose a minimum of five or more years of experience working with a new home builder as a site superintendent. Interested candidates please forward your resume via email along with your salary expectation. Key Responsibilities and Accountabilities: Strong interpersonal and communication skills Conducts quality control home inspections before and after possession (attention to detail) Responsible to perform basic carpentry, general labor duties including but not limited to, digging, sweeping & lifting Performs touch up painting when required Conduct minor drywall repairs Communicates and deals with the homeowners face to face with regards to their deficiencies Improves, corrects or reports concerns in quality workmanship Experience with basic hand and power tools Must be able to multitask, work well under pressure, Independently and with a team Following and enforcing company safety policies and procedures Knowledge of Microsoft Office (Word, Excel & Outlook) Solid knowledge of construction site operations and building codes. Expected start date: 2021-05-31Job Types: Full-time, PermanentSalary: $50,000.00-$80,000.00 per year"
