Job role,Company,Location,Experience Level,Posted time ago,Job Type,Job Function category,Industry Category,Job Description
General Application for Thrive Health (Remote),Thrive Health,Canada,Executive,4 days ago,Full-time,"Other, Information Technology, and Management",Software Development,"DescriptionThrive Health is on an important mission: to make healthcare work better for everyone. We’re creating digital healthcare technology that enables more efficient, engaging care for patients, and empowers providers with the tools they need to do great work.What does this technology look like? Here’s a sneak peak:A first-of-its-kind interactive patient engagement tool for breast cancer survivorsCircle, a game changing product that gives corporate workers and students access to 24/7 careA clinical waitlist intervention tool that helps chronic pain patients get appointments with providers soonerIntegrating with wearable fitness devices to produce a patient’s comprehensive data storyIn everything we do, we are partnered with hospitals, clinics, health systems, and caretakers across a myriad of industries who care about improving peoples’ lives.When you become a Thriver, you are joining a passionate team of people who are committed to creating a more equitable, accessible healthcare system. Each day, we live by our five core values - be bold, be innovative, be transparent, be inclusive, be humble - and take incremental steps to achieve this mission. We’re looking for our next great Thriver, and the unique perspective you bring to make us a stronger, more diverse organization.The OpportunityHi, I’m Davin; Manager, Talent Acquisition at Thrive Health. We are always looking to have great people join our team. If you don't see the role you're looking for on our Careers page you can submit a general application for future consideration for our departments:Customer SuccessClinical Solutions & InnovationDevelopmentFinanceImplementationMarketingPeople & CultureProductSalesSecurity & ComplianceSupportYou'll receive an automated notification to let you know we've received your submission, but our team will only reach out if and when we have a role available that may be a good fit.When we post a new role, we will do a search on the General Applications for matching skills & experiences but we also recommend signing up for Job Alerts: https://www.thrive.health/careers?p=jobAlerts so you can be notified of when new jobs are posted on the team(s) you are interested in.It is highly recommended that you submit a cover letter with your application telling us what you want to be doing next and why you'd be a great fit at Thrive Health. If we know what you want to do, we will be better able to match you to future roles.You might also be interested in viewing our Thrive Health Culture video: https://youtu.be/U6_Fqa_5fT4 . You can hear from Thrivers in the organization and get a feel for what our culture is like.We prioritize supporting your health and well-being. From day one at Thrive Health, these benefits are yours:Flexible working hours - outside of core hours, you have the freedom to set your scheduleExtended health & wellness benefits - comprehensive health and dental coverage, and $1000 / year towards your well-beingCelebrations, on your terms - re-allocate our company-wide break at the end of December to cultural holidays that matter to you Learn, grow, and invest in your future - $1000 / year towards your continuing education, RRSP matching, and eligibility to participate in our stock options program Community involvement - Paid volunteer days and charitable donation matchingCreating your dream workspace - $500 / year to equip your home office with everything you needThrive Health is a remote-first company. We believe in letting you do your job, how and where works best for you.Even if you don’t think you tick every single box above, we still encourage you to apply! Research has shown that many professionals - especially women and marginalized peoples - will only apply if they feel 100% qualified for a role. We’re looking for our next great Thriver, and we don’t measure Thrivers by how many boxes they tick. Thrive Health committed to supporting an environment free from systemic or direct racism or discrimination for all employees, and for applicants throughout the interview process. We do not and shall not discriminate on the basis of race, ethnicity, gender, gender expression, religion, sexual orientation, or marital status. We welcome applications from people with disabilities, who require unique accommodations throughout the recruitment process. Let us know how we can best support you as you get to know our team."
"Clinical Receptionist Assistant, Endoscopy Program",St. Joseph's Health Care London,"London, Ontario, Canada",Entry level,1 day ago,Full-time,Administrative,Hospitals and Health Care,"Endoscopy ProgramSt. Joseph's Hospital - London, ONPart TimeThe Clinical Receptionist Assistant in the Endoscopy Program will work closely with the healthcare team to support the everyday operations of the unit. The Clinical Receptionist Assistant focuses on patient care while maintaining unit flow by registering patients, completing clerical responsibilities and assisting with indirect patient care tasks.Essential QualificationsOntario Secondary School Diploma or recognized equivalent by the Province of OntarioGraduate of a recognized Medical Office Administrative certificate program2 years clerical experience in medical office or clinic settingStrong customer service focus and ability to work in a team setting as well as independentlyExcellent organizational, interpersonal, and communication skillsAbility to work quickly and accurately in a busy clinic environmentGood judgment and decision-making skills required to ensure all necessary information is collected as per individual circumstancesKnowledge of Microsoft Office productivity suite with demonstrated basic computer skills with Outlook and Microsoft Word and Excel, enterprise and subject matter software, and technology devicesKnowledge of customer/client services and office administration policies and proceduresKnowledge of Cerner patient care systems with Power Chart preferredExperience using email system is requiredKnowledge of a Safety Culture in a Health Care Setting in compliance with OHSAExcellent knowledge of medical terminologyDemonstrates a professional and positive and professional attitude toward supporting internal and external customersDemonstrated ability to work effectively in a team environment with frequent interruptionsPreferred QualificationsProficiency in French would be an assetGraduate of a recognized Medical Office Administration diploma programPrevious experience in an Ambulatory clinic settingExperience working in an Endoscopy Unit, Operating Room, Urgent Care or Emergency Care settingTeaching and ResearchSt. Joseph's Health Care London through its affiliation with Western University and Fanshawe College is a leading research and teaching hospital. As an employee of St. Joseph's you will be expected to engage in role related teaching and research activities in addition to any of your clinical dutiesImmunization RequirementsProvide documentation you have received two doses of the Covid-19 vaccine (primary series, boosters and/or XBB) OR one dose of XBB vaccine at least 14 days prior to the start date.Provide vaccination records or proof of immunity against measles, mumps, rubella and varicella (chicken pox)Provide documentation of the Tuberculosis skin testing"
Clinical Coordinator,Saskatchewan Health Authority,"Duck Lake, Saskatchewan, Canada",Entry level,5 days ago,Full-time,Health Care Provider,Hospitals and Health Care,"Job DescriptionThe Clinical Leader - Nursing Services (CL-NS), is a Clinical Practitioner who integrates experience, skills, and knowledge from the nursing theory in the provision of direct client/patient/resident care, assessment of needs, clinical problem solving, and client/patient/resident and staff education. The CL-NS will contribute to the development of knowledge and the improvement of practice for an identified client population (ie LTC). This will be accomplished through the demonstration of leadership, the implementation and application of best practices, the provision of clinical consultation/services and the development of healthy interdependent partnerships with essential stakeholders. The CL-NS is responsible for the establishment and maintenance of high standards of client/patient/resident care and may assume delegated administrative, clinical and educational responsibilities.Job QualificationsRequired QualificationsAdvanced Cardiac Life Support (ACLS)Bachelor Degree/Diploma in NursingBasic Life Support (BLS)Minimum Data Set (MDS)Registered or eligible for registration with the College of Registered Nurses of Saskatchewan (CRNS)ExperienceFive (5) years recent nursing experience required.Knowledge, Skills And AbilitiesAbility to adapt to changing conditionsAbility to work independently and as a member of a multi-disciplinary teamAdvanced communication skillsAdvanced leadership skillsAdvanced mediation skillsAdvanced problem solving skillsOther InformationNOTE: This is a Provincial Posting and is open to all SUN members within the bargaining unit as per Articles 27.02 and 27.05 of the SUN Collective Bargaining Agreement. First preference will be given to employees of the SKHA (Saskatoon) and its affiliated agencies.Additional InformationThe Saskatchewan Health Authority (SHA) requires a criminal record check (CRC) from every potential SHA team member. The CRC must be dated within the past six (6) months and be satisfactory to the SHA. A vulnerable sector check (VSC) is required for individuals providing patient/resident/client care to vulnerable persons. Internal candidates may be required to provide a CRC and/or VSC during the recruitment and selection process. We work together to improve our health and well-being. Every day. For everyone. The SHA is committed to building a representative, diverse, inclusive and culturally responsive workforce. We are committed to the Truth and Reconciliation Calls to Action. We work in the spirit of truth and reconciliation acknowledging Saskatchewan as the traditional territory of First Nations and Metis people.Expected Start Date: March 26, 2024Expected Up To Date: March 31, 2025FTE®: 1.00"
Clinical Coordinator,Saskatchewan Health Authority,"Saskatoon, Saskatchewan, Canada",Entry level,4 days ago,Part-time,Health Care Provider,Hospitals and Health Care,"Job DescriptionThe Clinical Coordinator, under the direction of the Manager, is primarily accountable for the system navigation and coordination of patient flow for Medicine nursing units. This is achieved by the Coordinator having an ongoing awareness and involvement in workflow of the Medicine units. Duties include bed management, discharge planning, advocating for the patient/family, identifying supply and equipment needs and assisting with staff scheduling. The Clinical Coordinator will assist in project advancement and focus on data/metrics on Medicine services.Job QualificationsRequired QualificationsBachelor Degree/Diploma in NursingBasic Life Support (BLS)Current CPR CertificationRegistered or eligible for registration with the College of Registered Nurses of Saskatchewan (CRNS)ExperienceMinimum of five (5) years recent acute care nursing experience, three (3) of which must be in the specific clinical area.Knowledge, Skills And AbilitiesAbility to function as a role model for staff and physiciansDemonstrated ability to work within a team environmentDemonstrated commitment to continuing professional developmentDemonstrated computer skills as required by unitDemonstrated skill in teaching staff and patientsDemonstrated unit-specific clinical competenceDemonstrates a consultative collaborative approach with nursing and medical staffDemonstrates above average communication skillsDemonstrates conflict resolution skillsDemonstrates leadership and organizational skillsDemonstrates the ability to be a system thinkerExcellent analytical, judgment and decision-making skillsOther InformationNOTE: This is a Provincial Posting and is open to all SUN members within the bargaining unit as per Articles 27.02 and 27.05 of the SUN Collective Bargaining Agreement. First preference will be given to employees of the SKHA (Saskatoon) and its affiliated agencies.Additional InformationKnowledge of current trends, issues and perspectives of nursing in the specific clinical area. Knowledge of policy and procedure development and quality assurance initiatives. Knowledge of the role of the specific clinical area within the entire health system. Previous supervisory experience is an asset The Saskatchewan Health Authority (SHA) requires a criminal record check (CRC) from every potential SHA team member. The CRC must be dated within the past six (6) months and be satisfactory to the SHA. A vulnerable sector check (VSC) is required for individuals providing patient/resident/client care to vulnerable persons. Internal candidates may be required to provide a CRC and/or VSC during the recruitment and selection process. We work together to improve our health and well-being. Every day. For everyone. The SHA is committed to building a representative, diverse, inclusive and culturally responsive workforce. We are committed to the Truth and Reconciliation Calls to Action. We work in the spirit of truth and reconciliation acknowledging Saskatchewan as the traditional territory of First Nations and Metis people. Please note this position works Friday to Tuesday every second weekend.Expected Start Date: March 24, 2024Expected Up To Date: March 11, 2025FTE®: 0.54"
Clinical Coordinator,Saskatchewan Health Authority,"Saskatoon, Saskatchewan, Canada",Entry level,4 days ago,Part-time,Health Care Provider,Hospitals and Health Care,"Job DescriptionThe Clinical Coordinator, under the direction of the Manager, is primarily accountable for the system navigation and coordination of patient flow for Medicine nursing units. This is achieved by the Coordinator having an ongoing awareness and involvement in workflow of the Medicine units. Duties include bed management, discharge planning, advocating for the patient/family, identifying supply and equipment needs and assisting with staff scheduling. The Clinical Coordinator will assist in project advancement and focus on data/metrics on Medicine services.Job QualificationsRequired QualificationsBachelor Degree/Diploma in NursingBasic Life Support (BLS)Current CPR CertificationRegistered or eligible for registration with the College of Registered Nurses of Saskatchewan (CRNS)ExperienceMinimum of five (5) years recent acute care nursing experience, three (3) of which must be in the specific clinical area.Knowledge, Skills And AbilitiesAbility to function as a role model for staff and physiciansDemonstrated ability to work within a team environmentDemonstrated commitment to continuing professional developmentDemonstrated computer skills as required by unitDemonstrated skill in teaching staff and patientsDemonstrated unit-specific clinical competenceDemonstrates a consultative collaborative approach with nursing and medical staffDemonstrates above average communication skillsDemonstrates conflict resolution skillsDemonstrates leadership and organizational skillsDemonstrates the ability to be a system thinkerExcellent analytical, judgment and decision-making skillsOther InformationNOTE: This is a Provincial Posting and is open to all SUN members within the bargaining unit as per Articles 27.02 and 27.05 of the SUN Collective Bargaining Agreement. First preference will be given to employees of the SKHA (Saskatoon) and its affiliated agencies.Additional InformationKnowledge of current trends, issues and perspectives of nursing in the specific clinical area. Knowledge of policy and procedure development and quality assurance initiatives. Knowledge of the role of the specific clinical area within the entire health system. Previous supervisory experience is an asset Please note that this position works Friday to Tuesday with every second weekend. The Saskatchewan Health Authority (SHA) requires a criminal record check (CRC) from every potential SHA team member. The CRC must be dated within the past six (6) months and be satisfactory to the SHA. A vulnerable sector check (VSC) is required for individuals providing patient/resident/client care to vulnerable persons. Internal candidates may be required to provide a CRC and/or VSC during the recruitment and selection process. We work together to improve our health and well-being. Every day. For everyone. The SHA is committed to building a representative, diverse, inclusive and culturally responsive workforce. We are committed to the Truth and Reconciliation Calls to Action. We work in the spirit of truth and reconciliation acknowledging Saskatchewan as the traditional territory of First Nations and Metis people.Expected Start Date: March 31, 2024Expected Up To Date: March 11, 2025FTE®: 0.54"
Dietary Aide-Casual,Southbridge Care Homes,"Port Hope, Ontario, Canada",Entry level,4 days ago,Part-time,Health Care Provider,Internet Publishing,"Home: Hope Street Terrace Location: Port Hope, ONPosition: Dietary Aide-Casual“The kitchen is the heart of every home!”Southbridge Care Homes is looking for a qualified Dietary Aide to become part of a dynamic Food and Nutrition Department team that ensures our Residents are provided with nutritious and delicious meals, that are prepared and served with love. If you are ready to be part of a great team that is passionate about their work and improving the lives of our Residents, this is the role for you!Duties And ResponsibilitiesEnsuring food is handled in a safe manner, including proper storage and labelingAssisting cooks in basic food preparationExecuting proper food service in relation to internal and external guidelines and protocolsServing meals according to Resident diet ordersWashing, cleaning and maintaining the kitchen and dining roomQualifications Must possess a Food Handler's Certificate Preference will be given to individuals who have previous experience in the food service industry and working with seniors Demonstrates excellent customer service skills Must be physically able to lift and transfer heavy, hot items and stand/walk for majority of shift Proficiency in a second language is considered an asset.  Must provide a complete and current (within six months) Vulnerable Sector Check, or be willing to obtain oneSouthbridge Care Homes welcomes those applicants with disability-related needs and those whom need for accommodation in the recruitment process. Please provide notice of your need for accommodation to the hiring manager upon scheduling of an interview. To know more about Southbridge culture, please visit here.Powered by JazzHRVBkFmzIp7I"
Clinical Manager,CASA Mental Health,"Calgary, Alberta, Canada",Mid-Senior level,2 days ago,Full-time,Health Care Provider,Internet Publishing,"Join CASA Mental Health in shaping a brighter future for children, youth and families by providing them with timely mental health care and empowering them to thrive. We’re looking for an experienced health care professional who is eager to make an impact in their community.Job DetailsSalary range: $82,000 - $124,000Shift structure: Monday to Friday, 7.25 hours/dayPrimary location: Remote – CalgaryUnion: ExemptFTE: 1.0Status: PermanentAbout The RoleThe Trauma Program nurtures connection and safety in the caregiver-child relationship after experiencing trauma. Children and youth may come into the program via one of three streams: Outpatient Trauma Clinic, the Trauma and Attachment Group (TAG) or Consultative Services.The Clinical Manager will:Work with the Senior Manager of Clinical Operations and the Medical Lead to facilitate the development of a high-functioning multidisciplinary clinical team.Lead the delivery of high-quality clinical services by providing competency assessment, coaching, mentoring, training and clinical supervision to members of the multidisciplinary team.Oversee a holistic and high-quality model of assessment and treatment planning that is family-centred, trauma-informed and inclusive of biological, psychological, social and cultural factors for patients and their families.Incorporate evidence-informed, best practice models into clinical programming and practice.Monitor and assess standards of care and adherence to CASA clinical policies, procedures, and relevant legislation and acts, in partnership with the professional practice leads.Identify and manage required clinical competencies to meet program objectives and outcomes.Inform and train staff on CASA policy and practice regarding admission, discharge data collection and clinical documentation.Practice according to the code of ethics and practice standards of their specific discipline and support the ethical practices of all disciplines represented on their team.Liaise with community organizations to enhance partnerships and develop mutual goals when appropriate.QualificationsGraduate degree in clinical psychology, social work (with psycho-social intervention designation), occupational therapy or nursing.Current registration in good standing with a professional college identified under the Health Professions Act.A minimum five years of clinical practice in child and family mental health and/or youth addictions.Demonstrated ability to practice culturally-safe therapeutic interventions.Knowledge and experience in supporting the healing of children and youth who have experienced trauma.Knowledge and experience in the following therapeutic modalities: EMDR, Accelerated Resolution Therapy (ART), sensory motor psychotherapy, somatic experiencing, SMART, Dialectical Behavior Therapy (DBT)/Cognitive Behavior Therapy (CBT) and attachment, regulation, and competency (ARC).Training and experience in play therapy and DBT is considered an asset.Excellent organizational, interpersonal and communication skills. Conditions of EmploymentA satisfactory Criminal Record Check. This would be the financial responsibility of the successful candidate.Proof of COVID-19 vaccination or exemption on the basis of a protected legal ground.Closing Date: March 20, 2024Please quote the following competition number in your application materials 24-029Powered by JazzHRC2NBMhw6Q9"
Healthcare Project Manager,Torus Talent,"Burnaby, British Columbia, Canada",Mid-Senior level,3 days ago,Full-time,Project Management,Hospitals and Health Care and IT Services and IT Consulting,"On behalf of our healthcare client, Torus Talent is looking for a Healthcare Project Manager to lead the operations planning and transition to operations of a major distribution and administration project.Responsibilities:Develop/Manage project plans (budget, schedule, risk, etc) with input from Project Team Members and other stakeholdersDevelop Target Operating ModelMaintain and update program status reports and dashboardParticipate in resource selection and evaluationManage project scope change processes, and acquire approvals as requiredTrack and report on project financials (budgeted, planned and spent)Provide forecast on resource usage in consultation with project leadsEscalate significant issues that cannot be resolved by the Project TeamSupport transition of project deliverables to OperationsSubmit regular status reports to the Senior Management for review and approvalsPerform other related duties as assigned.Qualifications:Five (5) year’s recent, related experience in project management and facilitating and managing consultation processes with a wide range of stakeholder groupsExperience working in project controls or within BC Health Sector is highly preferredProject Management Professional designation considered an assetAbility to effectively navigate and deliver results in a large and complex environmentStrong analytical, interpersonal, and problem-solving skillsStrong verbal and written communication skills and ability to build consensus among diverse stakeholder groupsWorking knowledge of agile methodologyExceptional MS Office skillsPay rate: Incorporated Contractor: Up to $110/HR based on experienceTorus and our clients are equal opportunity employers. Due to the time-sensitive nature of this requirement, only candidates selected for an interview will be contacted"
Medical Assistant/Medical Office Administrator,LMC Healthcare,"Brampton, Ontario, Canada",Entry level,2 days ago,Full-time,Health Care Provider,Internet Publishing,"LMC Healthcare (LMC) is Canada’s largest specialist care provider in diabetes & endocrinology. We’re transforming diabetes care by making it more accessible, comprehensive, and patient-centric than ever before. LMC has 12 multi-disciplinary centers of excellence located in 3 provinces (Ontario, Alberta, and Quebec). Our 60+ Endocrinologists, many of whom are nationally renowned for their areas of expertise, are supported by an interdisciplinary team of highly qualified professionals.Our growing team is looking for a Medical Assistant/Medical Office Administrator who can work for us on a permanent full-time basis supporting our LMC Brampton clinic (2979 Bovaird Dr E, Brampton).ResponsibilitiesMedical Assistant:Coordinating the flow of patients in the examination and treatment areas to ensure efficient use of the facility and the Physician's schedule.Ensuring proper documentation (i.e. patient information and forms are accurate in patient chart) and when necessary liaising with medical laboratories and/or Physician offices for appropriate patient documentation. Preparing patient for physician evaluation, including but not limited to, measuring vital signs, such as pulse rate, temperature, blood pressure, height, weight, and BMI and record information on patient's chart appropriately. Collecting patient medical and social history. Reviewing medication list for accuracy and completion.Promotion of comprehensive, coordinated care for the patient. (Relating to the entire LMC care team of endocrinologists along with diabetes educators, pharmacists, chiropodists, optometrists, researchers and health coaches). Preparing examination rooms with necessary medical supplies.Downloading various glucose meters, continuous glucose monitors and/or insulin pumps.Downloading of investigations via electronic software DSQ, OLIS, Netcare etc.Medical Office Administrator:Checking in patients (reception/registration) and checking out patients (scheduling follow ups).Adhere to LMC’s Administrative Policy Manual and Care Promise.Management of all patient appointments appropriately and providers schedules as per our SOP.Completing all daily tasks such as:Providers tasks and assignments.Handle all external referrals to other specialists, diagnostic bookings and other tests for all providers.Liaising with medical laboratories/physician offices for appropriate patient documentation.Co-ordinate patient visits along their care path, especially across LMC’s multidisciplinary services: Chiropody, DEP, Optometry, Pharmacy and Research.Respond to all patient inquiries by email.Responding to all telephone inquires and retrieving and returning messages.Handling incoming and outgoing mail, faxes and shipments (site specific).Process patients accounts receivable and payable (credit card, debit, cheque & cash payments), when required.Ordering office and medical supplies, when required.Complete third party forms & letters, when required.Coverage for other administrators, as required.Other administrative duties, as assigned.Requirements:South Asian language competency is considered an asset.Medical Office Experience and/or Medical Office Assistant Diploma.Previous Personal Support Worker or Medical Laboratory experience is considered an asset.Previous experience as a Medical Assistant (MA) or Practical Nurse is considered an asset.Proficient knowledge of Electronic Medical Records system (knowledge of Accuro is considered an asset).Sound knowledge of medical terminology.Previous experience as a medical assistant and/or proficiency in measuring various vitals signs such as manual blood pressure, pulse will be considered an asset.Good interpersonal and customer service skills with the goal of helping patients access services to improve their health.LMC Healthcare is an organization committed to ensuring accessible services and communications to individuals with disabilities. Once an applicant has been selected for an interview, requests for accommodation can be made at any stage of the recruitment process. Applicants need to make their accommodation needs known when contacted.We thank all candidates, however, only those candidates selected for an interview will be contacted.Powered by JazzHRBwMvyWfPHL"
Dietary Aide,Southbridge Care Homes,"Thunder Bay, Ontario, Canada",Entry level,4 days ago,Part-time,Health Care Provider,Internet Publishing,"Home: Southbridge LakeheadLocation: Thunder Bay, ONPosition: Dietary Aide-CASUALSouthbridge Care Homes is looking for a qualified Dietary Aide to become part of a dynamic Food and Nutrition Department team that ensures our Residents are provided with nutritious and delicious meals, that are prepared and served with love. If you are ready to be part of a great team that is passionate about their work and improving the lives of our Residents, this is the role for you!Duties and Responsibilities:Ensuring food is handled in a safe manner, including proper storage and labeling Assisting cooks in basic food preparation Executing proper food service in relation to internal and external guidelines and protocols Serving meals according to Resident diet ordersWashing, cleaning and maintaining the kitchen and dining roomQualifications:Possess a current Safe Food Handling Certificate Experience in the hospitality/restaurant industry and/or enrollment or completion of the Food Service Worker courseHave a caring heart with a passion for serving others.Passion for providing quality care to residents in a long--term care setting.Excellent communication skills, both verbal and written Demonstrated ability to be a team player. A clear Police Record check with Vulnerable Sector search within the past 6 monthsMust be available to work evenings, weekends and holidays.Interested applicants are invited to apply. We would like to thank all applicants for your interest in working as part of our team! Only those applicants selected to move forward in the recruitment process will be contacted. Southbridge Care Homes welcomes those applicants with disability related needs and those whom a need for accommodation in the recruitment process. Please provide notice of your need for accommodation to the hiring manager upon scheduling of an interview.Stefanie Turkovic, Food Service ManagerPowered by JazzHRDcMfR9iKtu"
