Job role,Company,Location,Experience Level,Posted time ago,Job Type,Job Function category,Industry Category,Job Description
Director of Hospitality,Schlegel Villages,"Waterloo, Ontario, Canada",Director,6 days ago,Full-time,Management and Manufacturing,Hospitals and Health Care,"Job DetailsDescriptionThe Village at University Gates , located in Waterloo, Ontario has an exciting opportunity for a Director of Hospitality to join their village team. Our new Director of Hospitality will meet the following criteria:Experience in working in a customer service driven environment while leading a large hospitality team in multiple dining areas Demonstrate a creative flair for menu planning, preparation, and food presentationPassion for coaching and mentoring team members Have advanced Food Handlers Certificate and Smart Serve certificationsBasic computer skills and comfortable using Microsoft Office PackagesKnowledge or experience in the following areas would be an asset:Experience working in a senior living environment A Certificate or Diploma from a recognized institution in a related field or equivalent combination of education and experienceA Red Seal Certified Chef Active membership in the Canadian Society of Nutrition Management (C.S.N.M.)How Schlegel Villages Supports Our Team MembersSignificant Training and Personal Growth Opportunities, growing 8 out of 10 leaders internallyExtended Health Benefits and Retirement SavingsFinancial Hardship Support ProgramTeam Member Appreciation and Points Program Access to our Employee Family Assistance ProgramLoans and Scholarship ProgramsVacationDiscounts at Village ServicesUniformsOur New Director Of Hospitality WillInspire teams in providing an Exceptional Customer Experience Provide leadership to the Retirement & Long Term Care teams in the planning, preparation, and serving of meals to our residentsCreativity in developing and implementing Special Events and Programs in conjunction with other village teams such as marketing and recreation Support branded initiatives such as those in our Emma's NeighbourhoodUnderstanding the dietary and nutritional requirements of our residentsMonitors all food service orders to support village needsPrepare department schedules and payroll tasksMaintain the highest standards of cleanliness across all kitchens and serveries to meet and exceed all standards set by Public Health Schlegel Villages is pleased to accommodate individual needs in accordance with the Accessibility of Ontarians with Disabilities Act, 2005 (AODA), within our recruitment process. If you require accommodation at any time throughout the recruitment process, please speak with the hiring leader."
Banquet Supervisor,Capilano Suspension Bridge Park - Capilano Group,"Vancouver, British Columbia, Canada",Mid-Senior level,5 days ago,Part-time,Management and Manufacturing,Internet Publishing,"Nestled amidst the famous Stanley Park Rose Gardens, Stanley Park Pavilion is Vancouver’s preeminent wedding and banquet venue. Dedicated to creating experiences our team members and guests are amazed by, we are always looking for people who can help bring our mission to life. We are looking for a Banquet Supervisor to assist in the execution of the Food & Beverage department’s busy events.Who we are:We are Vancouver’s preeminent wedding and banquet venueWe are passionate about creating experiences guests and team members are amazed byWe are surrounded by the natural beauty of Vancouver’s crown jewel, Stanley ParkWho you are:You have a solid understanding of banquets and special events; a minimum of 2 years banquet serving experience,You have previous supervisory experience,You have a positive attitude and strong communication skills,You have flexible availability as shifts will include days, evenings and weekends,You can multitask and think on your feetWhat you’ll do:You’ll oversee all functions, weddings and meetings from set-up to tear down,You’ll assist in hiring and training new team members,You’ll motivate and lead the serving team,You’ll ensure the events go according to plan while exceeding our guest’s expectationsWhat you’ll get:Competitive wages and tipsFree Parking30%-40% discount at the Capilano Group’s various outletsGuest passes for friends and familyWho you are:You have a solid understanding of banquets and special events; a minimum of 2 years banquet serving experience,You have previous supervisory experience,You have a positive attitude and strong communication skills,You have flexible availability as shifts will include days, evenings and weekends,You can multitask and think on your feetConsiderations:Must be available to work a variety of shifts including evenings, weekends and holidays, to meet the needs of the businessWhile performing the duties of this position, team members are required to be on their feet for extended periods of timeOccasionally required to lift and carry up to 20 lbsOccasionally required to lift and climb a step ladder or step stoolThe Capilano Group comprises of retail, hospitality and tourism-based businesses anchored by Capilano Suspension Bridge Park in North Vancouver. The Capilano Group’s portfolio includes Moraine Lake Lodge, Moraine Lake Trading and Cathedral Mountain Lodge in the Canadian Rockies, Stanley Park Pavilion, Stanley’s Park Bar & Grill and Prospect Point Cafe and Gift Shop in Stanley Park, Vancouver and Capilano Suspension Bridge Park, Capilano Trading Post in North Vancouver.The wage for this position is $21 per hour.Powered by JazzHRIg7R0H41Ny"
Food Services Manager,Southbridge Care Homes,"Plantagenet, Ontario, Canada",Mid-Senior level,1 day ago,Part-time,Management and Manufacturing,Internet Publishing,"Location: Plantagenent, ONHome: PinecrestPosition: Food Services ManagerFood Services Manager Job Requirement Plans regular, therapeutic, modified textures menus that meet the needs of the residents, and according to the Ministry of Long-Term Care and Canada's Food Guide standards. The menu includes a summer menu, a winter menu, and a special occasion menu. Develops standardized, therapeutic and texture modified recipesOrders food, supplies, small and large equipment. Ensures that food is from regulated establishments. Verifies orders with the assistance of employees. Ensures food is stored properly according to HACCP principles. Ensures that all supplies and equipment are accessible and functioning properlyEnsures that cooks follow the menu, production sheets and recipes.Supervises kitchen and nursing staff in the dining rooms during mealtimes Ensures employees are using proper food handling techniquesCompletes nutritional profile of new resident, identifies risk within first 7 days of admission, refers resident to dietitian. Collects information on diet, food preferences, allergies, medications, cognitive and/or physical limitations. Assesses residents every 3 months. Transfers all resident information to the kitchen diet sheets, point of care binders in the dining rooms, information sheet in the snack books Write departmental policies and procedures. Revise as needed Ensures the cleanliness of the kitchen, dishwasher etc...Handles resident complaints and suggestions. Attends resident committee meetings as needed. Communicate any changes to residentsGeneral supervision of employees, apply disciplinary measures if necessary. Evaluate employees prior to probation and annually.QualificationsCurrent membership in the Canadian Society of Nutritional Management (C.S.N.M.) or a Registered Dietician requiredPost-secondary education in dietary management and the successful completion of a recognized Food Services Program.Minimum 2 years dietary management experience in a long-term care setting.Strong leadership skills to direct the work of employees.Experience managing employees within a unionized setting. Must be Bilingual in English and French. Interested applicants should send their resumes through this posting. We would like to thank all applicants for your interest in working as part of our team! Only those applicants selected to move forward in the recruitment process will be contacted.Southbridge Care Homes welcomes those applicants with disability related needs and those whom a need for accommodation in the recruitment process. Please provide notice of your need for accommodation to the hiring manager upon scheduling of an interview.Powered by JazzHR4klWMKbNe6"
Dishwasher,Broadstreet Properties,"Campbell River, British Columbia, Canada",Entry level,2 days ago,Full-time,Management and Manufacturing,Internet Publishing,"Are you customer service oriented with a great work ethic? Do you like to keep busy and stay organized? If so, join us as our new in-office cafeteria dishwasher working Monday to Friday!Your contributions to the team include:Ensuring the cleanliness of dishwareKeeping the dish machine clean and reporting any functional or mechanical problems to the kitchen supervisorMonitoring dish machine water temperature and chemical levels to ensure sanitary wash cycleWashing and storing all tableware and kitchenwareTransporting dishes to and from kitchen to cafeteriaCommunicating between the cafeteria and cooksKeeping trash levels low throughout the day in both kitchen and cafeteriaAssisting cooks with food preparation and help keeping the kitchen in an orderly fashionKeeping dish room clean and organizedSweeping and washing floors at the end of the dayTaking out all recycling at end of dayDoing laundry as needed for kitchen and cafeteria, folding and putting awayCompleting opening and closing checklistsAssisting as neededWhat you need to be successful:Minimum 1 year experience working in catering, or fast paced kitchenWorking experience in the hospitality industry preferredCurrent certification in FoodSafe Level 1Ability to use and care for food preparation equipmentAbility to establish and maintain effective working relationships with team members and co workersAbility to work independently in a fast-paced environmentAbility to stand for extended periods of timeWhy Broadstreet?Broadstreet Properties Ltd. is a family owned and operated property management company, partnered with Seymour Pacific Developments, that manage multi-family residential communities. We are a growing organization made up of diverse team members who are motivated to continuously innovate our approach to asset management. We consider employee wellbeing a priority and are dedicated to protecting the health and safety of our teams while ensuring a workplace that is respectful of everyone.Broadstreet Properties Ltd. practices equal opportunity hiring and onboarding processes to ensure equal access and participation for everyone. We understand that we have a responsibility for ensuring a safe, dignified, and welcoming environment and we are committed to creating an inclusive environment for all employees irrespective of race, colour, religion, sexual orientation, gender identity, or any other status protected by law. We believe in integrating people with disabilities into our workforce by removing barriers and meeting accessibility needs.Powered by JazzHR7LohxzDQuq"
Cafeteria Attendant,Broadstreet Properties,"Campbell River, British Columbia, Canada",Entry level,2 days ago,Full-time,Management and Manufacturing,Internet Publishing,"Are you customer service oriented with a great work ethic? Do you like to keep busy and stay organized? If so, join us as our new staff Cafeteria Attendant working Monday to Friday from 6:00AM – 2:30PM! This is a permanent, full-time position with benefits effective immediately!As the Cafeteria Attendant, you will be responsible for serving and maintaining service of the cafeteria food in a customer service-oriented manner. You will organize and set up the equipment and workstation within the cafeteria, while following FoodSafe regulations. The Cafeteria Attendant will work diligently to maintain the cafeteria in a clean and sanitary manner according to established expectations.Your contributions to the team include:Provide friendly and efficient customer service to coworkers in the staff cafeteriaHandle and serve food in a timely and courteous mannerMaintain food levels on the buffet and communicate with kitchenMaintain a clean and welcoming appearance of all equipment, counters, coolers and floorsMonitor food and equipment temperatures at all timesReceive, stock and rotate incoming and outgoing inventoryMaintain coffee stations in the cafeteria and on each floor of the officeAdhere to established schedule for meal and rest periodsStay productive at all times and prepare for future needs as time allowsClean cafeteria area before and after business hours and as necessary throughout the dayFollow established sanitation procedures at all timesAdhere to established dress codeAssist with kitchen-related duties when neededWhat you need to be successful:Minimum one year’s experience working in catering or food servicesWorking experience in the hospitality industry preferredCurrent certification in FoodSafe Level 1Working knowledge of materials and methods used in preparing foods on a large scaleAbility to use and care for food preparation equipmentAbility to establish and maintain effective working relationships with team members and coworkersAbility to work independently in a fast-paced environmentStrong customer service skillsMust be able to lift, push, pull and move food, equipment, etc. of 40 poundsAbility to stand for extended periods of timeWhy Broadstreet?Broadstreet Properties Ltd. is a family owned and operated property management company, partnered with Seymour Pacific Developments, that manage multi-family residential communities. We are a growing organization made up of diverse team members who are motivated to continuously innovate our approach to asset management. We consider employee wellbeing a priority and are dedicated to protecting the health and safety of our teams while ensuring a workplace that is respectful of everyone.Broadstreet Properties Ltd. practices equal opportunity hiring and onboarding processes to ensure equal access and participation for everyone. We understand that we have a responsibility for ensuring a safe, dignified, and welcoming environment and we are committed to creating an inclusive environment for all employees irrespective of race, colour, religion, sexual orientation, gender identity, or any other status protected by law. We believe in integrating people with disabilities into our workforce by removing barriers and meeting accessibility needs.Powered by JazzHRQNgVY4kMQ3"
Commis 2 Chef,Naturally Pacific Resort,"Campbell River, British Columbia, Canada",Entry level,5 days ago,Full-time,Management and Manufacturing,Internet Publishing,"The TeamBuild your career in the thriving tourism sector! Naturally Pacific Resort aims to become a top resort that welcomes everyone and offers exciting experiences every day. We are seeking team members who are passionate about providing exceptional hospitality and service, and who align with our values of Passion, Community, Inclusion, and Innovation. Our focus is not only on creating memorable experiences for guests but also on establishing a fulfilling and enjoyable work atmosphere for our team. Becoming part of the Naturally Pacific team will allow you to engage in the hospitality industry within an expanding company that values every individual's input and celebrates achievements collectively.The RoleIn this exciting new role, the Commis 2 Chef will have the opportunity to work with key industry partners to bring the resort and its amenities to guests for the first time! The Commis 2 Chef is responsible for providing exceptional service and work as part of the culinary team to achieve and create spectacular menu items for our guests to enjoy. In addition, the Commis 2 Chef will be responsible for preparing all MEP for your station and contribute to departmental targets and performing all tasks to the highest standard.A few things we are looking for in a new team member:Previous kitchen experience is considered an asset.Strong organizational skills.Strong communication skills.Self-motivated and a positive team player.Willingness to learn new skills.Perks & BenefitsEmployer-paid extended health, vision, and dental coverage.Employee and family assistance program.Yearly health and wellness benefit.RPP eligibility after one year.Employee discounts on food, golf, retail, and spa.And more!The ResortAt Naturally Pacific Resort, our mission is to provide guests with a memorable and meaningful experience. Located at the crossroads of the forest, mountains, and the Pacific Ocean in Campbell River BC, Naturally Pacific’s 100-room resort features a luxury spa, upscale restaurant and 18-hole golf course with a virtual driving range and lounge. This coastal destination offers spectacular views and access to some of the best outdoor experiences in the world. From eco-adventures, internationally renowned salmon fishing, wildlife watching, to traversing the parks and trails, Campbell River is a doorway to adventure.Thank you and we look forward to receiving your application!Powered by JazzHRvTNXRs6fgh"
Spa Manager,Naturally Pacific Resort,"Campbell River, British Columbia, Canada",Director,5 days ago,Full-time,Management and Manufacturing,Internet Publishing,"The TeamBuild your career in the thriving tourism sector! Naturally Pacific Resort aims to become a top resort that welcomes everyone and offers exciting experiences every day. We are seeking team members who are passionate about providing exceptional hospitality and service, and who align with our values of Passion, Community, Inclusion, and Innovation. Our focus is not only on creating memorable experiences for guests but also on establishing a fulfilling and enjoyable work atmosphere for our team. Becoming part of the Naturally Pacific team will allow you to engage in the hospitality industry within an expanding company that values every individual's input and celebrates achievements collectively.The RoleIn this exciting new role, the Spa Manager will have the opportunity to work with key industry partners to bring the resort and its amenities to guests for the first time! The Spa Manager is responsible for maintaining the spa's brand and culture by leading the team in a genuine and supportive manner. They are responsible for all spa operations and offer guidance to guarantee a seamless guest experience. This role calls for an entrepreneurial mindset, strong leadership skills, and exceptional communication abilities. The Spa Manager collaborates with the team to handle daily operations, establish service standards, address issues, promote wellness, and foster team accountability and personal growth.A few things we are looking for in a new team member:Minimum five (5) years of senior Spa Leadership experienceA degree in Business Administration or Hospitality Management an asset.Experience managing a staff of 30+Experience developing and monitoring operational budgets.Demonstrated experience leading, motivating, coaching, and developing teams.Excellent verbal and written communication skills. Ability to read, speak and interpret documents in clear English. Computer friendly with a strong proficiency in MS Office Programs.Possess a “roll up your sleeves” attitude.Must be able to multi-task and manage in high-volume, and high-stress environments. Strong team player that can collaborate with all departments to ensure a consistent and above-expectations experience for our guests.Perks & BenefitsEmployer-paid extended health, vision, and dental coverage.Employee and family assistance program.Yearly health and wellness benefit.RPP eligibility after one year.Employee discounts on food, golf, retail, and spa.And more!The ResortAt Naturally Pacific Resort, our mission is to provide guests with a memorable and meaningful experience. Located at the crossroads of the forest, mountains, and the Pacific Ocean in Campbell River BC, Naturally Pacific’s 100-room resort features a luxury spa, upscale restaurant and 18-hole golf course with a virtual driving range and lounge. This coastal destination offers spectacular views and access to some of the best outdoor experiences in the world. From eco-adventures, internationally renowned salmon fishing, wildlife watching, to traversing the parks and trails, Campbell River is a doorway to adventure.Thank you and we look forward to receiving your application!Powered by JazzHRNn6epqfCcS"
Food Service Manager - Full Time,Southbridge Care Homes,"London, Ontario, Canada",Mid-Senior level,1 week ago,Full-time,Management and Manufacturing,Internet Publishing,"Home: Southbridge London, Long-Term CareLocation: London, OntarioPosition: Food Service Manager – Full-timeTired of living to work? Work to LIVE in beautiful London, Ontario at our newly built, Southbridge London long term care home! Nestled in the heart of Southwestern Ontario, London offers big city amenities with a community touch. London has an abundance of urban parks and woodlands, a large selection of shopping malls and independent shops with a wide variety of goods and is a diverse and welcoming community open to all visitors, newcomers, and long-time residents.Offering competitive wages, Southbridge London is proud of our new state-of-the-art home and welcome you to join our team! Candidates are invited to apply for Full-time Food Service Manager position to work at our new Long Term Care Home Southbridge London, located in London ON.Qualifications:Current membership in the Canadian Society of Nutritional Management (C.S.N.M.) or a Registered Dietician requiredPost-secondary education in dietary management and the successful completion of a recognized Food Services Program.Minimum 2 years dietary management experience in long-term care setting preferredexperience in commercial cookingFamiliar with Ministry Long Term Care legislation, Public Health and IPAC StandardsStrong leadership skills to direct the work of employees.Superb organizational, time management and multi-tasking skills.Experience managing employees within a unionized setting. Knowledge of Occupational Health & Safety practices, principles and legislation.Excellent oral and written communication skills are essential.Customer-focused with high emphasis on building and maintaining relationships with clients. Responsibilities: Implement and enforce Food Service Department policies and procedures, with direct reporting Part time Food Service Supervisor and registered dietician. Plan, organize, direct, and supervise the activities of the Food Service Department to ensure the provision of high-quality food service. oversee and manage the food service budgetEnsure the use of standardized recipes. Oversee meal preparation and, if necessary, participate in its preparation. Supervise meal service to ensure appropriate portion control and resident acceptance.Schedule and train all Food Service employees. Establish and monitor workflow, evaluate performance and production making necessary changes to maintain quality service. Interview new residents regarding dietary restrictions, allergies and food preferences recording pertinent information in resident’s chart. Ensure sanitation regulations pertaining to food preparation and food premises are followed. Coordinate Dietary services with other departments as required. Attends Residents' Food Advisory.Participates with team to ensure Food Service Department is in compliance with Occupational Health and Safety requirements and promotion of Risk Management programs and/or policies; Perform all other job duties as assigned. Refer and adhere to all policies and procedures as they are in effect.Interested applicants should send their resume through this posting. We would like to thank all applicants for your interest in working as part of our team! Only those applicants selected to move forward in the recruitment process will be contacted.Powered by JazzHRc9rhnHdZrV"
Expo/Food Runner - Balkan Restaurant,Banff Hospitality Collective,"Banff, Alberta, Canada",Entry level,4 days ago,Full-time,Management and Manufacturing,"Technology, Information and Internet","We’re seeking Expo/Food Runners to join us at Balkan! Eat. Drink. Opa! Fresh Greek in the heart of Banff. Our Yia Yia (Grandma) lived to be 103 years old for a reason — the fresh and healthy diet of Greece. We source the best ingredients to honour the traditions of the Mediterranean including a wide range of lighter vegetarian options and mindful halal meats. Thursday nights are 'Greek Night' in Banff - belly dancing, Greek dancing and plate smashing! Banff's famous free live dinner show. Opa! Want to know more? Check us out here: banffcollective.com/balkanWe Love Perks! This Position Includes:Live, work & play in Banff National Park!Flexible hours with great earning potentialWicked staff discounts including 25% off food at all 15 venues + moreFun staff events - Outdoor activities, PARK Cleanups, holiday parties, team socials + moreOpportunities for growth & advancement across 15 unique venuesComprehensive extended health benefits plan available after 6 months (for employees working 26+ hours per week)Work with a company that intentionally gets you outside as well as gives back to the communityWhat You Have:Excellent communication skillsFlexible schedule requiredStrong work ethic and a positive team playerFront of house experience is an asset but not necessary, we'll make you a pro in no time!Expo/Food RunnerExpo/Food runners are responsible for making sure orders are presented properly and in a timely manner to all guests. These roles require attention to detail, initiative, and a positive attitude. The position requires a person that is quick, a great communicator, and has the ability to be on their feet for a full shift.Banff Hospitality Collective is: Balkan Restaurant | Chuck's Steakhouse | High Rollers | Magpie & Stump | Park Distillery Restaurant & Bar | The Bear Street Tavern | The Bison Restaurant + Terrace | The Eddie Burger Bar | The Maple Leaf Grill and Lounge | Three Bears Brewery & Restaurant | Hello Sunshine | Lupo Italian | Bluebird Restaurant | Are you ready to join us at Banff’s most iconic and popular downtown restaurants?BHC is an equal opportunity employer. We are committed to employing a diverse workforce and encourage all qualified individuals to apply. If you are invited to participate in the hiring process and require an accommodation request, please let us know in advance by responding to the invite email.Applicants must be legally eligible to work in Canada."
Director of Hotel Operations,Pacific Reach,"Vancouver, British Columbia, Canada",Director,1 day ago,Full-time,"Customer Service, General Business, and Management",Hotels and Motels,"About Pacific Reach Pacific Reach is a Vancouver-based diversified investment company with investments and holdings across various sectors and markets; including real estate, hospitality and entertainment, healthcare, technology, and private equity.With an emphasis on real estate over the past 30 years, Pacific Reach has built an impressive portfolio of hotel, multi-family, and commercial properties in Canada and the USA. The company is well-capitalized and seeking growth in the current environment. Please visit our website at www.pacificreach.com. Summary of PositionPacific Reach is seeking a Director of Hotel Operations to oversee the financial and operational performance of our portfolio, currently comprising five self-managed hotels and one third-party managed hotel. Reporting to the company CEO, the successful candidate will play a crucial role in working with property-level leadership and General Managers in enhancing hotel profitability, managing human resources, maintaining brand relationships, overseeing capital upgrades, and providing insights on hotel acquisition opportunities. This role requires a strategic leader with a strong background in hospitality management. ResponsibilitiesFinancial Oversight: Analyze and review daily, weekly, and monthly financial reports, ensuring optimal financial performance. Oversee the annual budget process, negotiate major contracts, provide revenue management guidance, and present monthly portfolio performance reporting to company CEO. Responsible for co-signing all cheques, EFT/wire transfers, payables. Human Resources Management: Work with each property General Manager to lead HR functions, including recruiting key managerial positions, establishing compensation packages, and managing union relations, participate in bargaining where applicable.Brand Relations and Compliance: Serve as the primary contact for hotel franchisors, manage franchise agreement renewals, evaluate conversion opportunities, and ensure adherence to brand standards.Capital Upgrades Management: Work with property-level and corporate leadership teams to compile annual Capex plans, oversee PIP upgrades and operational capital improvements, coordinating closely with internal teams and vendors for optimal cost management.Acquisition Support: Collaborate with the Acquisition Department to evaluate potential hotel acquisitions, offering operational and financial insights to guide investment decisions. Organize task force to execute hotel asset acquisition and disposition processes.Third-Party Managed Hotels and F&B Oversight: Ensure financial and operational metrics meet Pacific Reach standards by working closely with senior management in accordance with the parameters set by executed third-party management agreements.Strata Council Participation: Where applicable, act as a Strata Council member for properties within our portfolio.RequirementsBachelor's degree in Hospitality Management, Business Administration, or related field. Minimum of 10 years of senior operational management experience in the hospitality industry, with a proven track record in financial management, general management, brand relations, human resources, and capital project oversight.Demonstrated ability to lead and inspire a diverse team across multiple properties.Strategic thinker with excellent analytical, organizational, and problem-solving skills, possessing a flexible mindset to navigate, adapt, and pivot as needed.Excellent communication and interpersonal skills, with the ability to interact effectively with all levels of management, staff, and stakeholders.Tech Savvy with hands-on knowledge of MS Office, including Excel.Able to travel to attend to conferences, meetings, and assess hotel acquisition opportunities. We offer an attractive compensation package including a full range of benefits. We thank all candidates for their interest, and we will contact qualified candidates for an interview."
