Job role,Company,Location,Experience Level,Posted time ago,Job Type,Job Function category,Industry Category,Job Description
Mechanical Project Engineer,Wrmth,"North Bay, Ontario, Canada",Mid-Senior level,1 week ago,Full-time,Engineering and Information Technology,Internet Publishing,"The OpportunityWrmth is a technology company committed to changing outdoor living. Software, electronic design, next generation manufacturing, and material science meet cutting edge industrial design to create our green energy powered, Intelligent outdoor furniture. Wrmth leads the way in this new category with design forward technology integrations informed by the uniquely Canadian, and intimate relationship with outdoor entertainment. Every Wrmth product is designed and engineered in Canada, to ensure premium quality and craftsmanship. If you are looking to contribute to a dynamic team of talented individuals, led by experienced technology and design entrepreneurs then come make an impact with Wrmth as the latest member of our inclusive, supportive, and exciting team.We are seeking a motivated Mechanical Project Engineer to develop and execute a plan for the build out of Wrmth’s automated manufacturing facility in North Bay. The mechanical project engineer will be responsible with various tasks from participating in and coordinating different production activities to developing production flows and quality assurance systems. This is a hands on position located in our facility in North Bay.The position is open and receiving applications until March 22, 2024. All applicants must be legally entitled to work in Canada and ready to report for work in person within 2 weeks of offer acceptance.Job Duties and Responsibilities:Analysing project specifications, developing work schedules, executing personally and delegating where appropriateEnsuring that all engineering and manufacturing processes are in keeping with applicable health and safety regulationsCollaborating with other engineers and technical personnel to develop instructional and training manuals where requiredProven experience in 3D printing, additive manufacturing, or related technologies.Familiarity with various 3D printing technologies and materials.Proficiency in reading and interpreting technical drawings and specifications.Strong troubleshooting and problem-solving skills.Attention to detail and commitment to producing high-quality work.Good communication skills and the ability to work well in a team.Willingness to stay up-to-date with advancements in 3D printing technology.CNC programming and operation experience is a bonusRequirements:Completed a degree(or associates) in mechanical engineering or related discipline 1-2 years of experience working in the engineering field 1-2 years of experience in project management is preferredFusion360 - 3D CAD software experience is a must have(If you are a Fusion360 master, we want to meet you)Hands on working experience with both 3D printing and CNC equipment for production Strong leadership, organizational, and time management skillsExcellent problem-solving and analytical abilities A positive attitude and willingness to work to get tasks over the finish lineWrmth for All: As an equal opportunity employer, we are a community that values diversity and does not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, disability, or marital status.Powered by JazzHRBZUj8DeuAW"
Mechanical Design Engineer,Intel Corporation,"Toronto, Ontario, Canada",Mid-Senior level,1 week ago,Full-time,Engineering and Information Technology,Semiconductor Manufacturing,"Job DescriptionDo Something Wonderful! Intel put the Silicon in Silicon Valley. No one else is this obsessed with engineering a brighter future. Every day, we create world changing technology that enriches the lives of every person on earth. So, if you have a big idea, let’s do something wonderful together. Join us, because at Intel, we are building a better tomorrow. Want to learn more? Visit our YouTube Channel or the links below!Life at Intel Diversity at Intel Intel desires entry into market segments served by high performance discrete graphics. Participation in such market segments requires the delivery of reference platforms to downstream customers with sufficient confidence to ramp the design, or a very close derivative, into high volume production quickly. Intel is building this capability and now seeks to expand its discrete graphics Platform Engineering team. Are you interested? Then XPE has an opportunity for you. In XPE, we are responsible for delivering leading GPU solutions for integrated and discrete graphics across market segments, and will continue to deliver a pipeline of innovation, to support the complete Intel platform, including CPU, memory, and accelerators.As a Mechanical Design Engineer your responsibilities will include but notLimited ToDrives end to end graphics platform hardware development and design and translates platforml evel requirements to specifications.Designs, develops, modifies, and evaluates electronic parts, components, PCB, or integrated circuitry for GPU hardware platforms, electrical engineering applications, and equipment.Defines component placement, components trace routing rules, and circuits on a board for GPU platforms.Conducts the board layout from feasibility studies to board tapeout, meeting multidisciplinary platform level requirements.Verifies functionality by leading platform powerons, running comprehensive functionality tests, and utilizing tools to confirm platform configurations are set as expected.Drives design research and verification, development, testing, and utilization of firmware, hardware, components, mechanisms, materials, circuitry processes, packaging, and chassis for GPU platforms including discrete graphics components.Applies deep understanding of feature design and validation, utilizes this knowledge to confirm system compatibility or troubleshoot customer concerns, defines processes for technical platforms, system specifications, input/output, and working parameters for hardware and software compatibility.Drives innovation in high performance computing, graphics, and visualization technologies through understanding and driving flows and processes for testing, manufacturing, and debug features of GPUs.Collaborates with platform teams (e.g., architecture, power, power integrity, signal integrity, thermal, mechanical, firmware) to develop highquality GPU systems based on performance needs and industry standards (e.g., PCIe, OAM), recommends optimal place and route, and resolves system development and bringup issues to deliver the best quality for platform.QualificationsWhat we need to see (Minimum Qualifications):Bachelor of Science degree in Mechanical Engineering or related field with 3+ years relevant experience or a Master of Science in Mechanical Engineering or related field and 2+ years of relevant experience.1+ years of experience designing mechanical solutions utilizing 3D modelling software such as Creo or SolidWorks.1+ years of working with mechanical simulation software such as Abaqus or Ansys.1+ years of experience with thermal mechanical testing/debug/analysis.How To Stand Out (Preferred Qualifications)Bachelor of Science degree in Mechanical Engineering or related field with 4+ years relevant experience or a Master of Science in Mechanical Engineering or related field and 3+ years of relevant experience.4+ years of experience delivering high performance thermal mechanical solutions for electronics applications (air cooled and/or liquid cooled), such as semiconductor, package, PCB and system design.4+ years of experience understanding the tradeoffs between mechanical, thermal and electrical criteria.4+ years of experience with mechanical part manufacturing processes and surface finish options.3+ years of experience with mechanical fundamentals in the PC eco-system.2+ years of experience working with PCIe, OAM or other desktop or server form factors.1+ years of experience with thermal simulation such as Icepak or Flotherm.Inside this Business GroupThe Client Computing Group (CCG) is responsible for driving business strategy and product development for Intel's PC products and platforms, spanning form factors such as notebooks, desktops, 2 in 1s, all in ones. Working with our partners across the industry, we intend to deliver purposeful computing experiences that unlock people's potential - allowing each person use our products to focus, create and connect in ways that matter most to them. As the largest business unit at Intel, CCG is investing more heavily in the PC, ramping its capabilities even more aggressively, and designing the PC experience even more deliberately, including delivering a predictable cadence of leadership products. As a result, we are able to fuel innovation across Intel, providing an important source of IP and scale, as well as help the company deliver on its purpose of enriching the lives of every person on earth.Posting StatementAll qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.BenefitsWe offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here.Intel is committed to a culture of accessibility. Intel provides accommodations to applicants and employees with disabilities. Find information and request accommodation here.Annual Salary Range for jobs which could be performed in Canada:CAD 105,740.00-158,680.00Salary range dependent on a number of factors including location and experienceWorking ModelThis role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. In certain circumstances the work model may change to accommodate business needs."
Electronics Engineer,Northern Light Technologies,"North York, Ontario, Canada",Entry level,5 days ago,Full-time,Engineering and Information Technology,"Health, Wellness & Fitness","Job DescriptionNorthern Light Technologies (NLT) is seeking a Electronics Engineer to design products relating to our lighting related products.The ideal candidate will have extensive experience designing analogue and digital electronic circuits. The candidate must be willing to work in a multi-disciplinary environment and exhibit strong technical skills and self-motivation. Excellent communication, time management, and ability to multi-task on various projects will be critical. We are seeking a dedicated and enthusiastic candidate who aligns with our company culture and embodies our core values, fostering a collaborative and inclusive work environment.You will have the opportunity to work with leading edge technology and help influence the next generation of products for NLT.ResponsibilitiesAnalyze system requirementsWork closely with mechanical and software developersInvestigate new technologies and their applicabilityPerform design verification to determine if the requirements have been met. Understand and follow company policies, procedures, work instructions and standards and makes recommendations for continuous improvementsDevelop analogue and digital electronic circuitsResearch for new components and conduct component selectionPrepare schematics, BOM, net listsProvide support during engineering and commissioning phasesWork with external contract engineering firms, suppliers, board layout designers, board manufacturingTroubleshoot and rework prototype boardsWrite test requirements, set up test environment (including electronics test equipment)QualificationsExperience withAnalogue and digital circuit designLow level / discrete component level designBattery management and design of battery powered productsSwitch mode power supply (up to 30W)Automatic control system designAnalog-to-Digital conversionDesign with micro controllersDesign with I2C, SPI, UART, RS485 interfacesDesign interfaces for wired, wireless and radio-based circuitsLow current consumption electronic circuit designEMI, EMC designOrcad or Altium softwareUnderstanding and ability to lead PCB layout designSimulation tools for electronic circuitsExcellent problem-solving skillsExcellent communications skills, both oral and written. Proficient with office applicationsBachelor’s degree in Electrical EngineeringA minimum of 10 years of professional experience using the above skills.Additional Skills PreferredMicrocontroller firmware design experience including C programmingExperience with designing for intrinsic safetyCompany DescriptionFounded in 1984 as a division of Levitt-Safety, a premier safety supplier in the Canadian market, NLT is known for our award-winning cap lamp technology, and has recently added medical respirators and face masks to our product line.NLT has offices in Canada, Chile, Australia and Germany, as well as a network of highly experienced distributor-partners around the world. NLT provides the quality, consistency and innovation to ensure that mines today can operate at peak productivity while ensuring worker safety.Check out our website to learn more! https://www.nltinc.com/Founded in 1984 as a division of Levitt-Safety, a premier safety supplier in the Canadian market, NLT is known for our award-winning cap lamp technology, and has recently added medical respirators and face masks to our product line. NLT has offices in Canada, Chile, Australia and Germany, as well as a network of highly experienced distributor-partners around the world. NLT provides the quality, consistency and innovation to ensure that mines today can operate at peak productivity while ensuring worker safety. Check out our website to learn more! https://www.nltinc.com/"
Entry-Level Electronics Engineer,Naval Air Systems Command (NAVAIR),"Cherry Point, Alberta, Canada",Entry level,4 days ago,Full-time,Engineering and Information Technology,Defense and Space Manufacturing,"Engineers hired to the Fleet Support Teams have the opportunity to work on a variety of different aircraft, components, and support equipment.You may provide the following types of products and services:Engineering and Mishap InvestigationsOn-Wing\In-Theater Troubleshooting SupportTechnical Authority for Maintenance and Repair ManualsHazard Risk AnalysisSafety BulletinsFleet TrainingAircraft Modification DesignsAvionics Systems Testing and TroubleshootingElectronics Circuit Design, Testing and TroubleshootingAutomatic Test Equipment Troubleshooting and RepairSoftware Test Program Development and SustainmentElectronics 3D ModelingAirborne Software Development and SustainmentAircraft Wiring Design, Testing and TroubleshootingAircraft Electrical Power Components Support"
Mechanical Engineer,EUROCERT,"Toronto, Ontario, Canada",Mid-Senior level,3 days ago,Full-time,Engineering and Quality Assurance,International Trade and Development and Business Consulting and Services,"Job DescriptionEurocert is seeking an experienced engineer to help develop our business model. In this role, you will join our development team, managing projects from concept to completion. Our ideal candidate is a creative thinker who will promote Eurocert’s inspection and certification activities locally and on worldwide basis.Objectives of this Role· Develop our company by introducing new clients · Perform inspection/audits and certification· Meet Eurocert’s quality standards while maintaining working knowledge of relevant technologies and best practices, and upholding federal and state regulations· Develop, train, and educate junior engineers, guide technical direction, and act as a technical liaison between customers· Maintain system functionality· Build professional skill through continued training, education, and networking events Skills and Qualifications· Bachelor’s degree in Mechanical engineering field from an accredited institution· 5+ years’ experience as an engineer or Lead Auditor of other Certification Body· Experience in Scheme Management/Certification Management in Systems Management or Environment· Solid understanding of manufacturing processes · Strong focus on quality control· High organizational and marketing skills· High degree of self-motivation and self-direction· Ability to work in a fast-paced environment and the ability to find your own path in ambiguous situations Preferred Qualifications· Professional Engineer certification· Auditing/surveying experience· Strong project/team management capabilities· Fluently speaking English, optional another language too"
Mechanical Design Engineer,Thinkpath Engineering Services,"Peterborough, Ontario, Canada",Entry level,1 day ago,Full-time,Engineering and Information Technology,Engineering Services,"Job DescriptionThinkpath Engineering Services is recruiting for Mechanical Design Engineers to fill contract-to-direct hire positions in Peterborough, ON. Job Description:Provide support in the development of complex mechanical/electrical integrated systems delivering innovative technical design and functional solutions that support program deliverablesDevelop and review component design and interfaces to meet customer requirements (for both accuracy and manufacturability, project financial and schedule requirements) using 2D/3D CAD drawing/models, review, check tolerance stack-up, and configuration management effectively utilizing GD&T and ASME Y14.5 standardsSupport of planning and control, ILS, supply chain, QA and manufacturing in the use of engineering product dataPrepare technical documentation, complete review and verification of technical documents including the generation and organization of Bill of Material, drawing logs and purchased part logsQualifications:Bachelor’s degree in Mechatronics or Electrical Engineering or Mechanical EngineeringProficient with Solidworks and Microsoft Office Suite specifically with MS Excel and WordCompany DescriptionThinkpath Engineering Services, LLC (TES) has been a global leader in Engineering and Design Services since 1977. Headquartered in Miamisburg, OH, TES has additional offices in Columbus, IN; Tampa, FL; Marietta, GA and Toronto, ON.TES provides the following engineering services:Engineering Design and Drafting Services: Conceptual design, analysis, layout, form/fit and function analysis, drafting (including Geometric Dimensioning and Tolerancing), Technical Data Packages (TDP) development as well as reverse engineering servicesCAD Services: Includes parametric modeling, detailing, incorporation of ECNs into existing designs, BOM development, and conversion services between various CAD packages.Technical Documentation: TES technical documentation team has the ability to author documents, incorporate engineering changes into existing documents, create illustrations and produce animations.Contract and Direct Placement: Technical placement of engineers, designers, drafters, as well as additional technical professionals in various industries.Thinkpath Engineering Services, LLC (TES) has been a global leader in Engineering and Design Services since 1977. Headquartered in Miamisburg, OH, TES has additional offices in Columbus, IN; Tampa, FL; Marietta, GA and Toronto, ON. TES provides the following engineering services: Engineering Design and Drafting Services: Conceptual design, analysis, layout, form/fit and function analysis, drafting (including Geometric Dimensioning and Tolerancing), Technical Data Packages (TDP) development as well as reverse engineering services CAD Services: Includes parametric modeling, detailing, incorporation of ECNs into existing designs, BOM development, and conversion services between various CAD packages. Technical Documentation: TES technical documentation team has the ability to author documents, incorporate engineering changes into existing documents, create illustrations and produce animations. Contract and Direct Placement: Technical placement of engineers, designers, drafters, as well as additional technical professionals in various industries."
CNC PROGRAMMER WANTED!,Peel HR,"Etobicoke, Ontario, Canada",Entry level,1 day ago,Full-time,Engineering and Information Technology,Human Resources,"Job DescriptionAre you an experienced CNC Programmer looking for a dynamic and growth-oriented career? Join our client team, a well-established industry leader with a reputation for excellence in Quality Manufacturing and Customer Relations for over 32 years!Job Description:As a CNC Programmer, you will play a crucial role in our production process, ensuring precision and efficiency. Your responsibilities will include:Responsibilities:Study blueprints and CAD software to determine programming needs. Interpret engineering drawings, manuals, and specifications. Write CNC programs for machining operations based on specifications. Assist in planning production cycles and achieving optimal targets. Set up new programs and perform test runs. Maintain the CNC programming database. Troubleshoot and diagnose CNC problems. Monitor machines for performance and quality. Collaborate with various teams to identify areas of improvement. Adhere to safety and environmental regulations. Other duties as assigned. Requirements:Previous work-related experience as a CNC Programmer. Proficiency in CAM programs. Details:Competitive salary ($25.00-$27.00 per hour). Company DescriptionPeel HR is one of the fastest growing HR companies in the GTA. We pride ourselves in ensuring the right candidates are met with the right organizations. We have helped thousands of organizations find the ideal candidates. We are just a phone call away. We are not just an agency, but your staffing partner. We value your organizations needs, and we deliver.Do give us a call if you're interested we have multiple openings right now within Ontario, CanadaPlease visit us at : www.peelhr.com24/7 Number :+1-(647) 424-0399 & +1-647-557-2943Peel HR is one of the fastest growing HR companies in the GTA. We pride ourselves in ensuring the right candidates are met with the right organizations. We have helped thousands of organizations find the ideal candidates. We are just a phone call away. We are not just an agency, but your staffing partner. We value your organizations needs, and we deliver. Do give us a call if you're interested we have multiple openings right now within Ontario, Canada Please visit us at : www.peelhr.com 24/7 Number :+1-(647) 424-0399 & +1-647-557-2943"
Manufacturing Engineer,ML6 Search + Talent Advisory,"Mississauga, Ontario, Canada",Associate,4 days ago,Full-time,Engineering and Manufacturing,Packaging and Containers Manufacturing,"The Opportunity:We are currently looking for a Technical Support / Manufacturing Engineer to join our client, a growing packaging company in the GTA. In this role, you will play a crucial part in ensuring the smooth operation of their equipment, optimizing product quality, and contributing to the implementation of new procedures for continuous improvement.What You’ll Be Doing:Provide daily technical support, promptly identifying and resolving equipment issues.Monitor equipment performance to meet targeted operational goals.Monitor and optimize product quality, ensuring adherence to established standards.Collaborate with supervisors and operators to implement new and revised operating procedures.Support improvement requests, actively contributing to process enhancements.Act as a Subject Matter Expert (SME) for training operators, helpers, packers, and supervisors.Share expertise to enhance the team's technical capabilities.Act as a backup for technical support in the area of Extrusion as needed.Monitor equipment reliability, making adjustments to meet operating targets.Conduct safety tours of the plant to ensure compliance with safety standards.Perform technical and statistical analysis to identify and resolve plant problems.Interpret technical standards and develop corrective measures for facilities.Establish and maintain optimal operating conditions for equipment efficiency.Maintain current documentation on critical equipment.Evaluate and manage the required spare parts list for the assigned area.What You’ll Need To Be Successful:Bachelor's degree in engineering or a related field.Proven experience in technical support and troubleshooting.Strong analytical and problem-solving skills.Knowledge of safety protocols and regulatory standards.Excellent communication and interpersonal skills.Ability to collaborate effectively with cross-functional teams."
Mechanical Assembler,Vicinity Motor Corp.,"City of Langley, British Columbia, Canada",Mid-Senior level,1 day ago,Full-time,Management and Manufacturing,Internet Publishing,"The Vicinity Motor (Bus) Corporation (Previously Grande West Transportation Group) is a Canadian bus.manufacturer which designs, engineers, and manufactures mid-size buses for transit authorities andcommercial enterprises. The Vicinity bus is available in a variety of models powered by clean diesel or CNG,designed with affordability, accessibility, and environmental responsibility in mind. Further to this, as a partof the global transition to sustainable transportation, the Vicinity Motor Corporation will be introducing theVicinity Lightning EV bus, as well as a line of Electric Work Trucks.We are looking for a Mechanical Assembler for our PDI shop in Aldergrove Location. Mechanical assembler is responsible for the assembling parts and help manufacture EV trucks, buses, and Body installs.Role OverviewRead, interpret, and follow basic diagrams, engineering drawings, specifications, bills of materials, and other instructions or procedures to accurately fabricate and assemble materials and equipment. Collect all material and equipment needed to begin the process.Take precision measurements to ensure perfect fit of components.Select or modify components according to measurements and specifications.Check output to ensure highest quality.Report on issues, malfunction, or defective parts.Skills in assembly of equipment including minor fabrication functions.Any other general shop skills are a plus. Experience in an automotive or heavy-duty shop environment is an asset. Safely moving parts and materials with the use of overhead cranes and forklift. Maintain a clean, organized, and safe work environment. Comply with company safety and work policies. Collaborate with other team members to solve technical issues and maintain production schedule and quality. Set up and operate fabricating machines, such as cutter, grinding and drill presses, cut, drill, or otherwise form and assemble metal components. Fabricate, modify and/or install various metallic or non-metallic items and components. Perform metal corrections and touch-up painting as directed. Install and/or modify various metallic or non-metallic items and components. Comply with all safety, quality and work rules, guidelines, and regulations as required. Other jobs as assigned.QualificationsExcellent organizational, communication, and interpersonal skills.Class 5 License and clean driver’s abstract air brake endorsement is an asset.Automotive or Heavy-duty Experience is an asset.EV experience is an asset.Schedule:  Monday to Friday, 8 hours shifts (7:00 AM to 3:30 PM)Powered by JazzHRw44trqgKlA"
Electrical Engineering Technologist,Thinkpath Engineering Services,"Scarborough, Ontario, Canada",Mid-Senior level,1 day ago,Full-time,Engineering and Information Technology,Engineering Services,"Job DescriptionThinkpath Engineering Services (TES) is looking for an Electrical Engineer/Technologist to fill an opportunity with a client located in the Scarborough, ON area.Job Description Create drawings - electrical power, controls and wiring in regards to buildings/facilities and products (not automation or mechatronics) Create code for data analysis, query database Create macros for application softwareQualifications Degree in electrical engineering or similar background Experience using CAD (SolidWorks electrical a plus) Willingness to train/learn SolidWorks electrical module Knowledge of electrical power, wiring and controls for facilities/buildings Programming knowledge (code for analysis and databases) Proficient in MS OfficeCompany DescriptionThinkpath Engineering Services, LLC (TES) has been a global leader in Engineering and Design Services since 1977. Headquartered in Miamisburg, OH, TES has additional offices in Columbus, IN; Tampa, FL; Marietta, GA and Toronto, ON.TES provides the following engineering services:Engineering Design and Drafting Services: Conceptual design, analysis, layout, form/fit and function analysis, drafting (including Geometric Dimensioning and Tolerancing), Technical Data Packages (TDP) development as well as reverse engineering servicesCAD Services: Includes parametric modeling, detailing, incorporation of ECNs into existing designs, BOM development, and conversion services between various CAD packages.Technical Documentation: TES technical documentation team has the ability to author documents, incorporate engineering changes into existing documents, create illustrations and produce animations.Contract and Direct Placement: Technical placement of engineers, designers, drafters, as well as additional technical professionals in various industries.Thinkpath Engineering Services, LLC (TES) has been a global leader in Engineering and Design Services since 1977. Headquartered in Miamisburg, OH, TES has additional offices in Columbus, IN; Tampa, FL; Marietta, GA and Toronto, ON. TES provides the following engineering services: Engineering Design and Drafting Services: Conceptual design, analysis, layout, form/fit and function analysis, drafting (including Geometric Dimensioning and Tolerancing), Technical Data Packages (TDP) development as well as reverse engineering services CAD Services: Includes parametric modeling, detailing, incorporation of ECNs into existing designs, BOM development, and conversion services between various CAD packages. Technical Documentation: TES technical documentation team has the ability to author documents, incorporate engineering changes into existing documents, create illustrations and produce animations. Contract and Direct Placement: Technical placement of engineers, designers, drafters, as well as additional technical professionals in various industries."
