Job role,Company,Location,Experience Level,Posted time ago,Job Type,Job Function category,Industry Category,Job Description
Hybrid Vice President of Retail,"Pyramid Consulting Group, LLC","Toronto, Ontario, Canada",Executive,4 days ago,Full-time,"Business Development, Sales, and Other",Retail,"Our client, a global luxury retailer, is seeking a Vice President of Retail to join their team on a hybrid schedule in Toronto, Canada. This person will oversee operations for all retail (full-price and outlet) and concession stores throughout Canada. The VP of Retail is responsible for crafting and executing strategic plans, offering the leadership required for teams to deliver outstanding client experiences, excelling in people management, achieving quality KPI growth, maintaining elevated standards in visual merchandise management, and effectively managing inventory and EBIT.Job Duties Include:Drive the retail business by fostering effective collaboration across key functionsCollaborate with finance to monitor and manager the store fleet’s P&L/financials to achieve overall sales/profit goalsCollaborate with direct reports to implement impactful recruiting practicesLead performance management and talent development initiatives in alignment with company objectivesDevelop and execute business objectives that drive successful outcomes, maximizing salesDevelop and implement retail strategy, including expansion strategy, targeting key market locations, and achieving profitable returnsDetermine KPIs and analyze a P&L to identify and prioritize actions necessary to achieve sales targetsMonitor and control sales, repairs, maintenance expenditure plans, and expense budgetsSet goals, monitor progress, and evaluate results to ensure alignment with organizational objectives and operational requirementsLead the development of training programs in partnership with HREstablish performance goals for all direct reports and monitor performanceGuide retail store management in crafting meaningful grassroots action plans to achieve sales, profitability, and talent targets.Partner with to implement effective operational tools, retail store projects, and assessments for continuous improvementLead and execute successful retail store openings, closures, renovations, and expansionsEstablish and oversee outreach program supporting the company brand, regularly communicating brand messages, and local market activities to customersJob Qualifications Include:Bachelor’s degree/MBA preferred10+ years of leadership experience in Premium retailStrong leadership presence in achieving business objectivesExtensive retail management experience across various locations and business channelsStrong organizational skillsDisplay a robust business acumen, including proficiency in retail math and P&L responsibilityStrong collaboration and communication skills at all levels within the organizationAbility to plan and manage both strategic and operational functions of the businessWilling to engage in frequent travel as required.Proficiency in Excel, Word, Outlook, and PowerPointSalary: $250k - $300k annuallyThe expected base salary range for this position is from $250,000 - $300,000. It is not typical for offers to be made at or near the top of the range. Salary offers are based on a wide range of factors including relevant skills, training, experience, education, and, where applicable, certifications obtained. Market and organizational factors are also considered.While PCG appreciates all applicants, only those qualified will be contacted. Thank you for your application. We look forward to hearing from you!If you believe you are a great candidate for this position, and the salary listed does not meet your expectations, we would still love to speak to you!? PCG, in good faith, believes that this posted range of compensation is the accurate range for this role at this location at the time of this posting. PCG and our clients may ultimately pay more or less than the posted range depending on candidate qualifications. This range may be modified in the future.Pyramid Consulting Group, LLC is an Equal Opportunity Employer that takes pride in a diverse environment. We do not discriminate in recruitment, hiring, training, promotion, or other employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital or veteran status, medical condition or disability, or any other legally protected status.Please refer to our website: www.pyramidcg.com for access to our Right to Work and E-Verify Participation Posters."
E-commerce Specialist,Seek 2 Thrive,"Toronto, Ontario, Canada",Entry level,3 days ago,Part-time,Management and Manufacturing,Financial Services,"Description: An E-commerce Specialist is responsible for the online sales of the brand. They manage the company's website and online sales portals to ensure the E-commerce platform is functional, efficient, and aligned with the business's goals.ResponsibilitiesManage and oversee the company's e-commerce business efforts.Head the planning and execution of the digital marketing strategies to promote the company’s products to online customers.Conducting analytical projects to improve website strategies.Manage website design, market research, and customer service.QualificationsBachelor’s degree in Marketing, Business, or related field.Experience with e-commerce platforms like Shopify, Magento, or WooCommerce.Strong understanding of web design and web analysis.Knowledge of digital marketing channels such as PPC, SEO, Social Media Display, and affiliate marketing channels.BenefitsCompetitive salary package with performance incentives.Health and wellness benefits.Retirement benefits.Opportunities for professional development and career progression."
E-commerce Specialist,Seek Smart,"Toronto, Ontario, Canada",Entry level,2 days ago,Part-time,Management and Manufacturing,"Technology, Information and Internet","Description: An E-commerce Specialist is responsible for the online sales of the brand. They manage the company's website and online sales portals to ensure the E-commerce platform is functional, efficient, and aligned with the business's goals.ResponsibilitiesManage and oversee the company's e-commerce business efforts.Head the planning and execution of the digital marketing strategies to promote the company’s products to online customers.Conducting analytical projects to improve website strategies.Manage website design, market research, and customer service.QualificationsBachelor’s degree in Marketing, Business, or related field.Experience with e-commerce platforms like Shopify, Magento, or WooCommerce.Strong understanding of web design and web analysis.Knowledge of digital marketing channels such as PPC, SEO, Social Media Display, and affiliate marketing channels.BenefitsCompetitive salary package with performance incentives.Health and wellness benefits.Retirement benefits.Opportunities for professional development and career progression."
E-commerce Specialist,Seek 2 Thrive,"Toronto, Ontario, Canada",Entry level,1 day ago,Part-time,Management and Manufacturing,Financial Services,"Description: An E-commerce Specialist is responsible for the online sales of the brand. They manage the company's website and online sales portals to ensure the E-commerce platform is functional, efficient, and aligned with the business's goals.ResponsibilitiesManage and oversee the company's e-commerce business efforts.Head the planning and execution of the digital marketing strategies to promote the company’s products to online customers.Conducting analytical projects to improve website strategies.Manage website design, market research, and customer service.QualificationsBachelor’s degree in Marketing, Business, or related field.Experience with e-commerce platforms like Shopify, Magento, or WooCommerce.Strong understanding of web design and web analysis.Knowledge of digital marketing channels such as PPC, SEO, Social Media Display, and affiliate marketing channels.BenefitsCompetitive salary package with performance incentives.Health and wellness benefits.Retirement benefits.Opportunities for professional development and career progression."
E-commerce Specialist,Seek 2 Thrive,"Toronto, Ontario, Canada",Entry level,1 day ago,Part-time,Management and Manufacturing,Financial Services,"Description: An E-commerce Specialist is responsible for the online sales of the brand. They manage the company's website and online sales portals to ensure the E-commerce platform is functional, efficient, and aligned with the business's goals.ResponsibilitiesManage and oversee the company's e-commerce business efforts.Head the planning and execution of the digital marketing strategies to promote the company’s products to online customers.Conducting analytical projects to improve website strategies.Manage website design, market research, and customer service.QualificationsBachelor’s degree in Marketing, Business, or related field.Experience with e-commerce platforms like Shopify, Magento, or WooCommerce.Strong understanding of web design and web analysis.Knowledge of digital marketing channels such as PPC, SEO, Social Media Display, and affiliate marketing channels.BenefitsCompetitive salary package with performance incentives.Health and wellness benefits.Retirement benefits.Opportunities for professional development and career progression."
E-commerce Specialist,Seek 2 Thrive,"Toronto, Ontario, Canada",Entry level,2 days ago,Part-time,Management and Manufacturing,Financial Services,"Description: An E-commerce Specialist is responsible for the online sales of the brand. They manage the company's website and online sales portals to ensure the E-commerce platform is functional, efficient, and aligned with the business's goals.ResponsibilitiesManage and oversee the company's e-commerce business efforts.Head the planning and execution of the digital marketing strategies to promote the company’s products to online customers.Conducting analytical projects to improve website strategies.Manage website design, market research, and customer service.QualificationsBachelor’s degree in Marketing, Business, or related field.Experience with e-commerce platforms like Shopify, Magento, or WooCommerce.Strong understanding of web design and web analysis.Knowledge of digital marketing channels such as PPC, SEO, Social Media Display, and affiliate marketing channels.BenefitsCompetitive salary package with performance incentives.Health and wellness benefits.Retirement benefits.Opportunities for professional development and career progression."
E-Commerce Shop Specialist - Markham-Chinese Language Must,ADD Printing & Packaging,"Markham, Ontario, Canada",Mid-Senior level,2 days ago,Full-time,Sales and Business Development,Internet Publishing,"Responsibilities include, but are not limited to:Shop operations: inventory, merchandising, seasonal displays, special event and holiday eventsFulfill online orders, returns and exchangesMange updates and optimize content and other elements to enhance our online experience.Plan and manage regular website updates and launches, coordinating closely with our marketing teams, sales, and customer service teams.Manage meta tags and other elements to optimize search engine rankings.Support delivery of eCommerce site features and custom themes on Shopify.Contribute to optimizing site for scalability and speed.Troubleshoot and resolve issues, maintaining high website performance and availability.Stay up to date with the latest eCommerce trends & technologies to suggest & implement improvements.RequirementsPrevious supervisory experience in a Retail environment is a big plusExperience with Shopify or other e-commerce platforms.Experience working both independently and, in a team-oriented, collaborative environment.Flexible with proven ability to conform to shifting priorities, demands and timelines through analytical and problem-solving capabilities.Experience in process optimization with an eye for improvement opportunities and how to effectively communicate changes.Must be able to learn, understand and apply new technologies.Support diverse and inclusive work environment.Have 2 - 5 years of relevant experience.Please send resume to nelson0301@yahoo.com, thanks!Powered by JazzHRTTKFeUFIdO"
"Analyst, Global Merchandise",Circle K,"Toronto, Ontario, Canada",Mid-Senior level,4 days ago,Full-time,Marketing and Sales,Retail,"JOIN OUR TEAM Maybe you’ve stopped by for a coffee, fueled up your car or grabbed something to eat on the go. Then you know what Circle K is all about. Our mission is simple: to make our customers' lives a little easier every day. We’ve grown into a successful global company with over 16,000 stores in 29 countries, serving more than 6 million customers each day. In all, we have more than 150,000 people working at our stores and support offices.Analyst, Global Merchandise_______________________________________________________Department : Global MarketingLocation: Toronto (305 Milner avenue)Type of employment: Permanent, full timeHybrid mode: 3 days at the office et 2 days remotely _______________________________________________________In the role of Global Merchandise Analyst, you will be working with the Global Merchandise Excellence team to help drive growth across the business through the implementation of strategic merchandising initiatives. You will have the opportunity to collaborate with leaders across the organization in Business Units, Marketing, Finance, Operational Excellence and Global Data & Analytics, to identify opportunities, evaluate merchandising projects, and support the adoption of a data driven decision making approach. The ideal candidate has solid analytical and prioritization skills, as well as the ability to translate data into insights and action. This role reports into the Global Merchandising Solutions Manager.What You Will DoLeverage available reporting and dashboards to provide timely insights on merchandise performance in a way that facilitates data driven decision making.Work collaboratively with cross-functional partners to build and deploy reporting capabilities related to strategic merchandise initiatives.Analyze key merchandising pillars (price, promotion, assortment, placement) and effectively communicate complex findings to non-analytical peers.Identify and make recommendations to improve existing processes.Provide analytical support to the Global Merchandise Excellence team, working on ad-hoc cross-functional merchandising projects as required.Participate in annual planning process and review of key merchandising initiatives.What You'll NeedBachelor's degree in Business, Finance, Economics, Accounting, or another analytical field.Minimum 2 years of work experience in data analysis, project management experience a plus.Experience with price, promotion, and assortment optimization is a strong asset.Strong analytical skillset with the ability to effectively manage priorities and risks.Ability to listen, be resourceful, and interpret information from a variety of sources.Excellent written and verbal communication skills.Proficient in data visualization (Power BI, Tableau, and SQL) as well as Microsoft Office (Word, PowerPoint, Excel)Due to global scope of the role working across time zones, flexibility around working hours is required.WHY WORK WITH USAlimentation Couche-Tard has been named one of the ""Best Employers in Montreal"" for 2023;Complete benefits packages (medical and dental);Possibility of enrolling in a pension plan with employer contributions or a stock purchase plan;Employee discounts in stores and with multiple of our partners;Paid time off plan including vacation, sick days and personal days;Work in a collaborative, dynamic and high performing team;Scholarship program available to the employee and the employee's children. Mode hybrid.INTERESTED ? You are only a few clicks away from joining an exceptional company! Those interested in this position should apply on our career site: https://carrieres.couche-tard.comWe thank all candidates for their interest in this position; Only selected individuals will be contacted.Couche-Tard attaches great importance to diversity in the workplace and subscribes to the principle of employment equity by encouraging applications from designated groups, namely: women, Aboriginal people, persons with disabilities and members of visible minorities.Circle K values diversity in the workplace and encourages applications from the following designated groups: women, aboriginal peoples, persons with disabilities and members of visible minorities. We are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act. Accommodations are available on request in all aspects of the selection process.R410760"
"Senior Director, Marketing",Ottawa Senators Hockey Club,"Ottawa, Ontario, Canada",Director,1 week ago,Full-time,Marketing,"Technology, Information and Internet","Senators Sports & Entertainment brings world-class hockey and entertainment to the National Capital Region through premier events and a winning team, on and off the ice. With a sustained culture of excellence and innovation, coupled with an unwavering commitment to outstanding guest and fan experience, Senators Sports & Entertainment is a source of pride and a pillar of leadership in the Ottawa-Gatineau community.Committed to delivering memorable entertainment experiences, building a strong community, and creating fans for life, Senators Sports & Entertainment strongly values integrity, commitment, innovation, passion and perseverance.The organization owns and operates the Ottawa Senators Hockey Club, Canadian Tire Centre, and the Belleville Senators. It also operates Ottawa Black Bears lacrosse, manages multi-use Sensplex facilities across the National Capital Region, and works in partnership with the Senators Community Foundation.Position Summary:The Senior Director, Marketing will lead a team of highly engaged individuals responsible for brand equity, demand generation, events & promotions, marketing automation, community activation, grassroots hockey programming and retail operations.Senators Sports & Entertainment seeks an innovative, collaborative, forward-thinking leader who work closely with Sales and Building Operations leadership to develop and execute comprehensive and measurable customer acquisition, retention, and loyalty marketing strategies to drive brand equity and achieve revenue targets. The successful Sr. Director, Marketing will have a proven track record in a consumer-driven environment and have a deep understanding of customer journeys and how to effectively engage and satisfy their needs.Responsibilities:  Lead the development and execution of annual marketing plans supporting the SSE brand portfolio (Ottawa Senators, Senators Community Foundation, Canadian Tire Centre and Ottawa Black Bears), ensuring planning alignment and integration with Ticketing, Premium Sales and Corporate Partnerships Lead the communication strategy for a revamped Ottawa Senators brand identity Mentor & develop a high performing team that is passionate about our customers and accountable for delivering organizational objectives Drive best-in-class marketing automation to support ticket sales and retention, leveraging customer segmentation and insight-driven communication strategies Lead our AOR relationship: media buying, customer acquisition strategy Leverage business intelligence and consumer insights data and analytics to develop strategies for growth Oversee retail merchandise operations (gameday, stand alone, online), leveraging NHL best practices to provide a memorable shopping experience: high value, expansive selection, exceptional service and consistent availability Function as a cross-platform innovator for SSE, leading the ideation process for new strategies and tactics to connect and interact with fans Leverage in-house creative talent to build campaigns and collateral that drive awareness and demand for Senators Sports & Entertainment brands Lead cross departmental teams in the strategy and execution of various Ottawa Senator events (CSR Nights, Promotional Calendar, Fan Fest, Skills Competition, Banner Raising Ceremonies, etc) Maintain and grow Season Seat renewal rate and customer satisfaction through effective customer communications and touchpointsRequirements Minimum of seven (7) years of progressive experience, with demonstrated marketing leadership acumen Undergraduate degree required (Business preferred) Outstanding record of achievement and team leadership within a dynamic, complex and competitive industry: Sports & Entertainment, CPG, DTC, and/or agency experience preferred Experience developing various brand strategy concepts through multi-channel platforms including digital, TV, OOH, social, print and experiential Proven strategic leadership including the ability to plan, organize, coordinate, assign, direct and evaluate the work of professional and administrative staff Ability to build strong and collaborative relationships with their team, cross functional partners, Senior Leadership Team and external partners Excellent communication skills (oral and written); excellent analytical and organization skills Demonstrated experience managing complex departmental budgets Bilingual (English & French) an asset"
Head of Retail Operations,JD Sports Canada,"Vancouver, British Columbia, Canada",Mid-Senior level,2 days ago,Full-time,"Customer Service, Strategy/Planning, and Training",Retail Apparel and Fashion,"Department: RetailLocation: Vancouver, BCWorkplace Type: On-SiteJob Type: Full-Time, PermanentSalary: $100,000 to $120,000 per yearTHE TEAMJD Sports is a sports-fashion retail company with the incentive to inspire the emerging generation of globally minded consumers through a connection to the universal culture of sport, music and fashion. Established in 1981, the JD Group is a leading global omnichannel retailer of Sports, Fashion, and Outdoor brands. With our retail stores expanding and evolving all throughout Canada, The Group is continuously finding and developing talent that adds to the inclusive and diverse work culture. JD continuously and successfully sets the global standard for retail experience best through the unique delivery of the world’s most authentic brands to the market. Our commitment to showcasing brands in a premium environment and stores remain a key part of the JD strategy.THE ROLEOur Retail team is looking for a Head of Retail Operations to join our team at Vancouver HQ! The Head of Retail Operations will contribute to the growth, best practices, customer service, and inventory management of our retail operations. This is an exciting time as JD Sports continues to grow every year and expand in the Canadian retail market, so if this is the role for you, come join our team!Duties/Responsibilities:Collaborate with senior management to develop and implement comprehensive operational strategies aligned with the company’s goals and objectives; identifying market trends, assessing competitive landscapes, and leveraging insights to drive strategic decision-making.Utilize advanced analytics tools and methodologies to monitor key performance indicators (KPIs) such as sales metrics, foot traffic patterns, and customer demographics.Translate data insights into actionable strategies to optimize store performance and drive revenue growth.Lead initiatives to continuously evaluate and optimize operational processes across all aspects of retail operations (inventory management, supply chain logistics, and customer service delivery).Implement best practices and innovative solutions to enhance efficiency, reduce costs, and improve overall operational effectiveness.Oversee inventory management processes to ensure optimal stock levels while minimizing carrying costs and inventory shrinkage.Establish inventory control measures to optimize inventory turnover and maximize profitability.Collaborate with cross-functional teams to develop and implement initiatives aimed at enhancing the overall customer experience.Implement customer feedback mechanisms and utilize insights to continuously improve service delivery and exceed customer expectations.Ensure compliance with all regulatory requirements, industry standards, and company policies related to retail operations.Proactively identify and mitigate operational risks, including issues related to safety, security, and regulatory compliance, to safeguard the interests of the company and its stakeholders.Evaluate emerging retail technologies and digital solutions to enhance operational efficiency, streamline processes, and improve the overall customer experience.Lead the implementation of retail technology solutions, ensuring seamless integration with existing systems and infrastructure while driving innovation and staying ahead of industry trends.Skills/Experience/Knowledge needed:Leadership: Ability to lead and inspire a diverse team of retail managers and staff.Strategic Planning: Capability to develop and execute strategic plans to achieve business objectives.Retail Management: Strong understanding of retail operations, including sales, inventory management, merchandising, and customer service.Financial Management: Proficiency in financial analysis, budgeting, and forecasting to ensure profitability and cost control.Problem-Solving: Aptitude for identifying issues within the retail operation and developing effective solutions.Data Analysis: Skill in analyzing retail data to identify trends, forecast sales, and make data-driven decisions.Customer Experience: Dedication to providing exceptional customer service and enhancing the overall shopping experience.Communication: Strong verbal and written communication skills to effectively convey ideas, policies, and strategies to various stakeholders.Change Management: Ability to adapt to changes in the retail landscape and lead teams through periods of transition.Technology Proficiency: Familiarity with retail management software, point-of-sale systems, and other relevant technologies to streamline operations and improve efficiency.Regulatory Compliance: Knowledge of relevant laws and regulations governing retail operations, such as labor laws, safety standards, and consumer protection laws.Inventory Control: Skill in managing inventory levels, reducing shrinkage, and optimizing stock turnover.Analytical Thinking: Capacity to analyze complex situations and make strategic decisions that drive business growth.Networking: Ability to build and maintain relationships with key stakeholders, industry peers, and partners.THE PERKS Benefits – Includes medical, optical, and dentalPaid time off – Includes vacation, sick days, and holidaysStore discount – Includes staff discount, family & friends discountKitchen/ lunchroom area – Our in-house kitchen area includes communal snacks, hot stove, dishwasher, microwave, fridge, and coffee machineTravel perks – Includes exclusive hotel deals in major cities (Vancouver, Toronto, NYC, Los Angeles)"
