Job role,Company,Location,Experience Level,Posted time ago,Job Type,Job Function category,Industry Category,Job Description
IT-Technician - Technicien IT,BrainFinance,"Montreal, Quebec, Canada",Mid-Senior level,2 days ago,Full-time,Information Technology,Software Development,"(en français après)BrainFinance is a leading financial technology company that provides responsible and constructive credit solutions to consumers. We are redefining access to credit through our revolutionary technology that utilises machine learning and automation capabilities to offer better and simpler financial services to everyone.A true innovation lab, our team consists of financial experts, data geeks, mathematicians, computer scientists, and software engineers, all working together to bring fair and transparent credit solutions to the masses.Here's what we're looking forWe are in search of a highly motivated IT Technician to become a key member of our IT support team, providing vital technical support across our organisation. The ideal candidate will have a robust passion for technology, an unending desire to expand their knowledge.Responsibilities include resolving initial help desk inquiries related to both Mac and Windows operating systems, overseeing the installation and configuration of software, aiding in the seamless onboarding of new personnel, and maintaining our comprehensive IT inventory. This position is suited to dynamic individuals with a solid foundational understanding of IT principles, who are committed to upholding the highest standards of customer service excellence.Your daily responsibilitiesConfigure new Mac and Windows computers for incoming employees, which includes setting up the operating system, network, and creating user accounts.Install and tailor software applications to meet the specific requirements of different roles within the organisation.Promptly manage and resolve IT support tickets via the organisation's ticketing system, ensuring issues are addressed in a timely manner.Assess tickets for urgency and significance, escalating more complex problems to senior IT personnel as necessary.Keep a detailed and current inventory of all IT assets, encompassing hardware, software, and peripheral devices.Conduct periodic audits to ensure the accuracy of the inventory and to identify any discrepancies.Evaluate the requirements for IT materials and equipment, placing orders to replenish stocks or acquire new assets as needed.Coordinate with vendors to secure prompt and accurate delivery of orders.Guarantee that meeting rooms are outfitted with the required IT and AV equipment for presentations and meetings.Regularly inspect and maintain these technologies to ensure they are functional and ready for use.Your skills and experienceBachelor's degree in Computer Science, Information Technology, or a related field is required;Basic understanding of computer hardware, software, and networking principles.Familiarity with operating systems such as Windows and macOS.Knowledge of security concepts, networks and troubleshooting tools for common IT issues;Significant experience in the installation, configuration and maintenance of desktop computers, laptops, and audio-video equipment in meeting rooms;Proficiency in commonly used office software applications, including the Microsoft Office Suite and various email platforms;Excellent oral and written communication skills;Highly organized, self-driven, and proactive;Comfortable in a fast-paced, informal work environment;Rigorous in managing IT inventories to ensure accuracy and efficiency;Strong customer-oriented skills, strives in providing excellent customer service and meet their needs in a timely manner and achieving high levels of satisfaction.Perks and benefitsGroup Insurance (Health and Dental) Retirement Savings Plan (RSP)Hybrid - Office / remote (the team is in the office on Wednesdays)Additional Days off (Moving day, Birthday, 5 personal days)Health and Wellness ProgramOffice perks: Event Coordinator responsible for social activities, 5-7, snacks provided, yoga and meditation roomPaid subscription to training tools Benefits for public transportation (Bixi, Opus)Modern open plan office with pin pong, and pool tableA friendly and relaxed working environment-------------------------------------------------(en français)BrainFinance est une société de technologie financière de premier plan qui fournit des solutions de crédit responsables et constructives aux consommateurs. Nous redéfinissons l'accès au crédit grâce à notre technologie révolutionnaire qui utilise l'apprentissage automatique et les capacités d'automatisation pour offrir des services financiers meilleurs et plus simples à tous.Véritable laboratoire de création, notre équipe se compose d'experts financiers, de geeks des données, de mathématiciens, d'informaticiens et d'ingénieurs en logiciels, qui travaillent tous ensemble pour apporter des solutions de crédit équitables et transparentes aux masses.Voici ce qu'on chercheNous sommes à la recherche d'un Technicien Informatique hautement motivé pour devenir un membre clé de notre équipe de support informatique, fournissant un support technique vital à travers notre organisation. Le candidat idéal aura une passion robuste pour la technologie et un désir inépuisable d'élargir ses connaissances.Les responsabilités incluent la résolution des premières demandes d'assistance liées aux systèmes d'exploitation Mac et Windows, la supervision de l'installation et de la configuration des logiciels, l'aide à l'intégration fluide du nouveau personnel et la maintenance de notre inventaire informatique complet. Ce poste convient aux individus dynamiques avec une compréhension fondamentale solide des principes informatiques, qui sont engagés à maintenir les plus hauts standards d'excellence en matière de service client.Ton quotidienConfigurer de nouveaux ordinateurs Mac et Windows pour les employés entrants, ce qui inclut la mise en place du système d'exploitation, du réseau et la création de comptes utilisateurs;Installer et personnaliser les applications logicielles pour répondre aux besoins spécifiques des différents rôles au sein de l'organisation;Gérer et résoudre promptement les tickets de support informatique via le système de billetterie de l'organisation, en s'assurant que les problèmes sont adressés en temps opportun;Évaluer les tickets en termes d'urgence et d'importance, en escaladant les problèmes plus complexes vers le personnel informatique senior si nécessaire;Tenir un inventaire détaillé et à jour de tous les actifs informatiques, incluant le matériel, les logiciels et les périphériques;Effectuer des audits périodiques pour assurer l'exactitude de l'inventaire et identifier toute discordance;Évaluer les besoins en matériel et équipement informatiques, passer des commandes pour reconstituer les stocks ou acquérir de nouveaux actifs selon les besoins;Coordonner avec les fournisseurs pour assurer une livraison rapide et précise des commandes;Garantir que les salles de réunion sont équipées du matériel informatique et audiovisuel nécessaire pour les présentations et les réunions;Inspecter et entretenir régulièrement ces technologies pour s'assurer qu'elles sont fonctionnelles et prêtes à l'emploi.Le bagage requisDiplôme de baccalauréat en informatique, en technologie de l'information ou dans un domaine connexe est requis;Une compréhension de base du matériel informatique, des logiciels et des principes de réseau;Familiarité avec les systèmes d'exploitation tels que Windows et macOS.Connaissance des concepts de sécurité, des réseaux et des outils de dépannage pour les problèmes informatiques courants;Expérience significative dans l'installation, la configuration et la maintenance d'ordinateurs de bureau, d'ordinateurs portables et d'équipements audio-visuels dans les salles de réunion;Compétence dans l'utilisation des applications logicielles de bureau courantes, y compris la suite Microsoft Office et diverses plateformes de messagerie;Excellentes compétences en communication orale et écrite;Très organisé, autonome et proactif;À l'aise dans un environnement de travail énergique et en constante croissance;Rigoureux dans la gestion des inventaires informatiques pour assurer l'exactitude et l'efficacité;Compétences orientées vers le client, s'efforce de fournir un excellent service client et de répondre à leurs besoins en temps opportun, atteignant de hauts niveaux de satisfaction.Les avantages  Des assurance collective (Maladie et dentaire) Contribution au régime d'épargne-retraite (REER)Hybride - Bureau / télétravail (l’équipe est au bureau les mercredis)Congés payés supplémentaires (Déménagement, anniversaire, 5 jours de congé personnel)Programme de santé et de bien-êtreAutres avantages: Une Coordonnatrice d'événements responsable des activités sociales, 5 à 7, collations fournies, salle de yoga et de méditationAbonnement payant à des outils de formation Avantages pour le transport en commun (Bixi, Opus)Des bureaux à aire ouverte avec tables de ping pong et billardUn environnement de travail convivial et décontracté"
Artificial Intelligence (AI) Engineer,Tech Advisory Panel,"Montreal, Quebec, Canada",Entry level,13 hours ago,Part-time,Engineering and Information Technology,IT Services and IT Consulting,"Description: An AI Engineer develops and deploys artificial intelligence models and systems to solve complex problems, automate tasks, and improve decision-making processes.ResponsibilitiesDesigning and implementing machine learning algorithms and deep learning models.Collecting, preprocessing, and analyzing large datasets to train AI models.Collaborating with data scientists, software engineers, and domain experts to develop AI-powered applications and solutions.Deploying AI models into production environments and monitoring their performance.Staying updated on AI research, techniques, and tools to drive innovation and optimize solutions.QualificationsProficiency in programming languages such as Python, R, or Java.Strong background in mathematics, statistics, and machine learning concepts.Experience with AI frameworks and libraries such as TensorFlow, PyTorch, or scikit-learn.Knowledge of cloud computing platforms and tools for scalable AI deployment.Previous experience in AI development roles or related fields.BenefitsCompetitive salary and opportunities for career advancement in the rapidly growing field of artificial intelligence.Exposure to cutting-edge AI technologies and projects across various industries.Collaboration with multidisciplinary teams to solve real-world problems and drive innovation.Access to training and professional development resources to enhance AI skills and expertise.Contribution to the development of AI-powered solutions that improve efficiency, accuracy, and decision-making capabilities."
Data Entry Assistant - Remote,ArcMentors,"Edmonton, Alberta, Canada",Entry level,13 hours ago,Full-time,Administrative,Research,"Only Apply Here: (codeup.click)Home-Based Data Entry Innovators NeededPrologue: Your opportunity to become a key player in our Virtual Data Projects Team, exerting influence from your preferred working environment and earning at competitive rates.Engagement ChannelsAccess high-reward data entry opportunities online and in real-time settings.Earn flexibly by engaging in projects on your unique schedule.Variety in payment modes, including PayPal, bank payments, and virtual rewards.Incentives available for exceptional accuracy and dedication.Key UndertakingsAdminister data entry responsibilities from any locale, following precise operational guidelines.Collaborate with our expansive, virtual data management teams.Suit projects that align with your specialized skill set.Ensure data integrity through scrupulous accuracy in every task.Necessary CredentialsA smartphone or a computer with a functioning camera for identity verification is a must.Enduring, stable internet connection required.A keen affinity for detail-oriented tasks within data or analogous sectors.Proficiency in following intricate directives for exact data entries.Workplace AdvantagesInvolve yourself in diverse data entry ventures, with the latitude to operate remotely.Forego daily commutes, embracing a work-from-home lifestyle.Flexibility of working hours, conducive to remote work aspirants.Pathways for advancement in data management skills and technological acumen.Employment Type: Configured for flexible, remote work preferences.Who It’s Ideal For: Individuals in search of non-traditional, part-time, or short-term remote work opportunities. Pre-existing experience in data entry is not mandatory, offering an optimal way to expand your online income avenues.Important to Note: Primarily an avenue for supplementary income, this position isn’t designed to transition into a regular employment status.Only Apply Here: (codeup.click)"
"IT Technician, User Support - Hybrid",CIMA+,"Québec, Quebec, Canada",Mid-Senior level,4 days ago,Full-time,Engineering,Civil Engineering,"Company DescriptionWelcome to a place where people are at the heart of everything we do. Welcome to people with an inspiring vision and who seek stimulating challenges. At CIMA+, you’ll find a place where you’ll have many opportunities to learn and develop while working on engaging projects. We are a firm 100% owned by its employees and we value a collaborative and entrepreneurial mindset. You will have the flexibility to manage your work on your own terms and define what work-life balance means to you. When you join CIMA+, we welcome you to a place that you can call home.Job DescriptionFrom its Quebec City office, CIMA+ is looking for a computer technician in user support to provide on-site and remote support for all CIMA+ offices. Working closely with the IT team and with the required supervision, the technician will be called upon to provide technical support to users experiencing difficulties with hardware and applications. By joining our team, the chosen candidate will have the chance to develop in a professional and stimulating environment, encouraging involvement in projects that may appeal to their fields of expertise and interest. Hybrid work may be authorized for a few days a week.Primary ResponsibilitiesProvide first- and second-level on-site and remote support to customers for problems with hardware or software related to computer workstations, peripherals, telephony, videoconferencing and mobile devicesHandling of first-level remote support calls via the dedicated hotlineParticipate and get involved in tasks related to the computer park (setting up new workstations, rotations, updating, moving equipment, inventory, etc.).Configure, install and support equipment such as printers, photocopiers and other peripheralsCreate, capture and process requests with the ServiceDesk ticketing system;Maintain good working communication with colleagues and customersOther tasks and responsibilities may be added depending on the employee's development within the IT Services team.QualificationsCollege diploma in computer science or equivalentFive (5) years' experience in the field of user supportFluency in spoken and written French and English. This position requires fundamental bilingual skills, which will enable you to communicate effectively with our various national stakeholders.Mastery of Windows 11, AD and basic understanding of SCCMGood knowledge of Microsoft 365 support and cloud applicationsBe able to prioritize and manage time effectivelyGood learning skills and excellent customer service approachAbility to work independently in a team with minimal supervisionAbility to prioritize and manage time effectively Adopt a respectful and professional attitude towards customers and colleaguesExcellent analytical and problem-solving skillsDemonstrated experience in solving technical computer problemsHas a car and a valid driver's licenseContacter : Ibrahima Amadou LYAdditional InformationEthics and integrity are fundamental values at CIMA+. That is why we are committed to ensuring equal access to resources and opportunities for candidates, regardless of their identity (race, ethnicity, colour, religion, gender, age, disability, sexual orientation, gender identity or expression, socio-economic status or background, etc.).In keeping with the principles of employment equity, we encourage all applications, including, but not limited to, those from women, Indigenous people, people with disabilities and visible minorities. We also encourage candidates to complete the self-identification form when applying for employment.Accommodations are available on request. Your Business Partner will process your request."
Junior Data Entry Specialist (Remote),Seek Smart,"Toronto, Ontario, Canada",Entry level,13 hours ago,Part-time,Administrative,"Technology, Information and Internet","Only accepting applicants here: seekmate.netWe're seeking vibrant individuals to enhance our Data Entry team, which supports a variety of initiatives including but not limited to healthcare research, e-commerce advancements, and customer insight projects.Our Data Entry opportunities are designed with your flexibility in mind, offering the option to work remotely — a fantastic way to earn extra income from your desired location, or to join the collaborative atmosphere of our office environment for those who prefer traditional work settings.Role ResponsibilitiesLog into your designated work area, whether it's a virtual platform or an on-site location, 10 minutes before your shift starts to ensure a timely beginning.Perform data entry with meticulous attention to detail, adhering to the specific guidelines for each project, whether instructions are delivered verbally or in written form.Address the distinct data handling needs of each project, which may involve tasks such as organizing and entering data related to various services or products after an initial review.Strive to maintain the high levels of data accuracy required for each project.Candidate SpecificationsAccess to a computer or a smartphone with a reliable camera is essential.A stable and robust internet connection is necessary.Proficiency in following complex instructions with high accuracy.Prior experience in the field of data entry is advantageous but not mandatory.What We OfferThe choice to work remotely or in our office premises, based on your personal preference.The remote work setup provides a commute-free lifestyle, saving both time and money.Flexible working schedules are available to accommodate both full-time and part-time commitments.Opportunities to engage with new products in specific projects, offering direct interaction with upcoming market releases.Early access to provide insights and feedback on new products or services before their official launch.This is a part-time, remote position ideal for individuals looking for flexible, temporary employment opportunities from their home. Prior experience in data curation is not necessary, offering a fantastic avenue for earning additional income through flexible remote tasks.Important: This role is intended for earning supplemental income and is not a full-time job opportunity."
Junior Application Support Analyst,Patterned Learning Career,"Calgary, Alberta, Canada",Entry level,22 hours ago,Full-time,Information Technology,IT Services and IT Consulting,"This is a remote position.Junior Application Support Analyst - Remote Job, 1+ Year ExperienceAnnual Income: $60K - $70KA valid work permit is necessary in the US/CanadaAbout us: Patterned Learning is a platform that aims to help developers code faster and more efficiently. It offers features such as collaborative coding, real-time multiplayer editing, and the ability to build, test, and deploy directly from the browser. The platform also provides tightly integrated code generation, editing, and output capabilities.Task FunctionsDemonstrate superior customer service (as measured by our customers: surveys and satisfaction from support renewals). Perform QA functions for any issue resolution from support calls. Develop Reports using SQL Server Reporting Services (SSRS). Create datasets to analyze and recreate issues reported by customers. Ability to look through database log files to troubleshoot software issues. Track and thoroughly document all customer issues in our ticketing system. As issues are reported from customers, diagnose if the issue is a change or a bug, then communicate issues to the analyst, development staff, or sales consultant appropriately. Understanding of the software development lifecycle (SDLC) as you will be interacting with various developers, analysts, and project managers. Facilitate positive proactive working relationships with customers and internal resources. Performs visits to customer sites to perform any preventative maintenance that can increase the stability and control of the Exact software (Proprietary Software). Implement and improve remote monitoring tools for our customer’s systems. Utilization of the Support Knowledgebase and Ticketing System to troubleshoot issues. Routinely log into client databases for data analysis and troubleshooting. Resolve application issues with minimal escalations to higher tiers. Manage conference calls with key stakeholders. Ability to diagnose and troubleshoot C# code. Ability to dissect stored procedures. Why Patterned Learning LLC?Patterned Learning can provide intelligent suggestions, automate repetitive tasks, and assist developers in writing code more effectively. This can help reduce coding errors, improve productivity, and accelerate the development process.Pattern recognition is particularly relevant in the context of coding. Neural networks, especially deep learning models, are commonly employed for pattern detection and classification tasks. These models simulate human decision-making and can identify patterns in data, making them well-suited for tasks like code analysis and generation."
Are you a Data Analyst looking to change your career to Data Science,eStaffing Inc.,Canada,Associate,8 hours ago,Full-time,Information Technology,Staffing and Recruiting,"Are you a Data Analyst seeking a transformative career change? This opportunity might be the perfect fit for you as you consider transitioning to Data Science Consulting. We are a staffing company specializing in training individuals for roles with our clients.Become an Data Science Consultant (Non-IT or Coding Required)Job Title: Data ScienceLocation: USA/CANADAVisa Status: H4/L2/USC/Work authorization/EAD/CANADA Work permit/Citizen/PR, etc.Note: We provide comprehensive training and placement tailored to meet the requirements of our clients. This course is particularly advantageous for Data Analyst due to their analytical skills, which are transferable to Data Science concepts. Regardless of your background,Are you a Data Analyst looking to pivot your career towards Data Science Functional Consulting? Your opportunity for career advancement and an hourly pay ranging from $40/hr to $60/hr awaits! Our clients actively seek Data Science Consultants, and we offer an inclusive training program. Additionally, many positions provide the flexibility to work from the comfort of your home.Role HighlightsAudience: Data ScienceDuration: Flexible schedule tailored to your needsContentIntroduction to Data SciencePython Basics for Data ScienceData Cleaning and Exploratory Data Analysis (EDA)Statistical Analysis with PythonIntroduction to Machine LearningAdvanced Machine LearningIntroduction to Deep Learning and Neural NetworksCapstone Project and Course ReviewFeaturesRemote Work Opportunities: Many roles offer the convenience of remote work, enabling you to balance work and life seamlessly.Practical Experience: Engage in real-life projects to gain hands-on experience and enhance your practical skills.Opportunities for All: Data Science Consulting is not exclusive to IT or coding professionals. We welcome individuals from diverse educational backgrounds, providing a unique opportunity to embark on a fulfilling career.Take the First Step:Ready to become an Data Science Consultant and tap into a realm of lucrative opportunities?Please connect with us through ************* Don't miss this chance to enhance your career and achieve financial success"
Junior Data Entry Coordinator (Remote),Seek 2 Thrive,"Toronto, Ontario, Canada",Entry level,2 days ago,Part-time,Information Technology,Financial Services,"Only accepting applicants here: seekmate.netWe're looking to grow our Data Entry team with individuals who are eager to take on various projects, including but not limited to, healthcare research, e-commerce strategy, and customer experience improvements.The flexibility of our Data Entry positions allows you to choose remote work, making it an ideal way to earn extra income from your chosen location, or to opt for working in our office spaces for those who prefer a conventional work environment.Your ResponsibilitiesBe ready and logged into your workstation, online or onsite, 10 minutes before the start of your shift.Accurately perform data entry tasks, adhering to the specific instructions for each project, whether those instructions are verbal or written.Undertake the data entry needs for each project, which may include tasks such as organizing and entering data related to products or services after an initial review.Consistently meet the data accuracy standards required for each project.Candidate CriteriaMust have a computer or smartphone with a working camera.A stable, high-speed internet connection is crucial.Capable of accurately following complex instructions.Experience in data entry is a plus but not mandatory.What We OfferThe option to work remotely or within our office spaces, depending on your preference.The benefit of remote work includes eliminating commute time and expenses.Flexible scheduling to accommodate your needs, with options for full-time or part-time positions.The opportunity to interact with new products in certain projects, offering firsthand experience with innovations.Early access to review and critique new products or services before their official release.This is a part-time, remote position ideal for individuals looking for flexible, temporary employment opportunities from their home. Prior experience in data curation is not necessary, offering a fantastic avenue for earning additional income through flexible remote tasks.Important: This role is intended for earning supplemental income and is not a full-time job opportunity."
Interim Chief Technology Officer,Kite Mobility,"Toronto, Ontario, Canada",Executive,15 hours ago,Full-time,Information Technology,"Technology, Information and Internet","Company Description Kite Mobility provides electric mobility options as an amenity for guests and residents, promoting sustainability and meeting city mandates. The company is located in Toronto, ON. Role Description This is a full-time hybrid role for an Interim CTO. The Interim CTO will be responsible for overseeing software development, project management, IT strategy, architecture, and product development. The role is located in Toronto, but flexible remote work is acceptable. Qualifications Experience in software development, project management, and product developmentStrong IT strategy and architecture backgroundExperience with agile methodologyFamiliarity with AWS infrastructure and serverless computingExcellent leadership and interpersonal skillsBachelor’s or advanced degree in computer science, engineering, or related fieldExperience as a CTO or similar leadership role in a technology startup Additional qualifications that would be beneficial include experience in electric vehicles, sustainability, and urban planning."
End User Computing Engineer,Buchanan Technologies,"Brampton, Ontario, Canada",Mid-Senior level,15 hours ago,Contract,Consulting,IT Services and IT Consulting,"End User Computing EngineerContract -3-6 months and subject for extensionBrampton, ON  Job Summary: As an End User Computing Engineer, you will be a key player in our IT support operations, particularly during our client’s endpoint device migration to M365. Your role will focus on providing exceptional support for Windows 10 and 11, as well as Mac and iOS systems. We’re looking for someone with superior communication and troubleshooting skills who thrives in both team and independent work settings.  Key Responsibilities:Lead and support the migration of client endpoint devices from on-prem to Microsoft 365, ensuring a smooth transition.Provide expert-level support for Windows 10 and 11 operating systems.Offer proficient support for Mac and iOS devices, addressing any software or hardware issues.Utilize excellent troubleshooting skills to quickly diagnose and resolve technical problems.Communicate effectively with clients to understand their needs and provide clear guidance.Work collaboratively with the IT team to develop and improve end-user computing strategies.Provide onsite support at remote locations, as required.Manage, track, and report on tasks and project progress to ensure timely resolutions.Adhere to company policies and procedures, including security and data protection standards.Qualifications:Proven experience in supporting Windows 10/11 and Mac/iOS systems.Demonstrable history of assisting with on-prem to M365 migrations.Excellent problem-solving and troubleshooting skills.Strong communication and customer service orientation.Ability to work effectively in a team and independently with minimal supervision.Valid G driver's license and regular access to a vehicle.Willingness to travel from one client site to another for daily support tasks.Experience:A minimum of 3 years of relevant experience in end-user computing support roles."
