Job role,Company,Location,Experience Level,Posted time ago,Job Type,Job Function category,Industry Category,Job Description
North American Logistics Coordinator,Sure Good Foods Limited,"Mississauga, Ontario, Canada",Entry level,1 week ago,Contract,Management and Manufacturing,Food and Beverage Services,"Job DescriptionPosition Summary:This individual is responsible for the operational execution of product movements from the point of supply to the delivery to the customer. This individual will interact with supply chain partners (e.g. product suppliers, carriers & customers) on a transactional basis to coordinate the movement of product as per the parameters defined in the contract of sale. This individual acts as the key contact with the transportation companies, freight forwarders, customs broker and other logistics partners servicing our North American customer base.Position Responsibilities: Communicate with or monitor service providers, such as freight forwarders, customs brokers, or trucking companies Processes shipments through an order management system Issues loading instructions to the carrier(s) and supplier(s) Prepares or compiles documentation required for the shipment and ownership transfer of product Invoices and forwards documents to the customer as per the contract of sale Monitors the shipments in transit and trouble-shoots for any logistical issues to ensure that customer service levels are not impacted Acts as a liaison with the customer for all post sale communications Cost freight on timely manner Approves, tracks and ensures payment of freight and storage invoices Maintain databases of logistics information Files documentation Ad hoc duties as requiredQualifications: University or college degree Minimum 2 years logistics experience Interest in commodity trading industry Proficiency with Microsoft Office Excel, Word, Outlook and other computerized systems Team player with excellent interpersonal and communication skills Ability to work in a fast-paced environment and meet demanding deadlines Proficient with Microsoft Office (PowerPoint, Excel, Word)Company DescriptionSure Good Foods provides experienced trading in pork, beef and poultry markets as well as more unique and diverse proteins. We source products from around the globe and ship product to over 50 international markets. The team of traders at Sure Good Foods has established long standing relationships with our vendor partners. We will work with these vendor partners to develop custom product solutions to meet customer specific requirements. Being established as a global leader in the frozen meat business, Sure Good Foods is expanding its product line to include frozen vegetables, fruits, juice concentrates and purees.Sure Good Foods provides experienced trading in pork, beef and poultry markets as well as more unique and diverse proteins. We source products from around the globe and ship product to over 50 international markets. The team of traders at Sure Good Foods has established long standing relationships with our vendor partners. We will work with these vendor partners to develop custom product solutions to meet customer specific requirements. Being established as a global leader in the frozen meat business, Sure Good Foods is expanding its product line to include frozen vegetables, fruits, juice concentrates and purees."
"Senior Director, International Managed Services",Delmar International Inc.,"Mississauga, Ontario, Canada",Director,3 days ago,Full-time,Sales,Non-profit Organizations and Primary and Secondary Education,"Mandate:Reporting to the VP of TradeAid, the Senior Director of International Managed Services is responsible for supporting Control Tower management. This involves managing and maintaining the customer's existing services, including worldwide purchases and carrier implementations across all modes of transportation. Additionally, the candidate will oversee various projects related to new scopes, legislation/regulations, and cost savings while monitoring continuous improvement.Other responsibilities:  Build rapport and lead change management with all stakeholders (internally and externally) Maintain all project-related documentation, including project plans, process flows/VSMs, resource requirements, and business cases, and ensure the delivery of projects on time, with high-quality solutions Track and report project financials (budgeted vs. actual) for allocated resource hours and billings Other duties, as assignedRequirements:  Bachelor's degree or Master's degree in Supply Chain/Business Administration or a related field is preferred Minimum 8-10 years of experience in the logistics/supply chain field Extensive knowledge of the international transport and logistics market (all modes of transportation) Advanced knowledge of MS Office, including Excel, PowerPoint, and Power BI Knowledge of and experience with quality assurance systems (GxP, ISO) is an asset Expert knowledge of Purchase Order life cycle, MRO, OMS or ERP's Proficiency in mathematics Up to 20% travel may be required (domestic and/or international)What You Offer:  Proven track record of project management Critical thinking and ability to analyze large volumes of data Excellent oral and written communication skills in English, with proficiency in Spanish and French as assets Ability to clearly present ideas and solutions to both internal and external parties Strong interpersonal skills for interaction with various groups within the organizationWhat We Offer: Equal opportunity employer Competitive compensation Comprehensive Benefits package, including fitness reimbursement program(s) Education Reimbursement Program Balance between work and home life Delmar's work schedule includes hybrid and flexible schedules depending on the job location and function. Delmar reserves the right to change/adjust the policy"
Supply Chain Associate,OtO Inc.,"Vaughan, Ontario, Canada",Entry level,1 week ago,Full-time,Management and Manufacturing,Manufacturing,"At OtO, we're driven by the belief that innovative technology is essential for a more sustainable and fulfilling future.  As a rapidly expanding startup focused on smart outdoor hardware, we're actively searching for a talented and driven Supply Chain Manager to join our team. In this pivotal role, you'll be instrumental in optimizing our supply chain processes and ensuring that our products are efficiently sourced, manufactured, and delivered to meet customer demands while minimizing costs and maximizing operational efficiency. We're seeking individuals who are passionate about driving efficiency and innovation in the supply chain realm, and who thrive in a fast-paced, entrepreneurial environment.  What you’ll do:  Assist in preparation of Purchase Orders and related documents.  Track supplier performance, investigate and address material non-conformances, along with determining next steps and remediation. Maintain and enforce quality control measures with suppliers, tracking and recording completed checks in conjunction with Quality Manager.  Procure equipment for projects and support other teams as necessary to ensure purchasing requirements are met. Use demand forecasting to determine inventory needs and ensure timelines are established to avoid potential backlogs. Maintain Inventory Management System (IMS) using purchase order receiving, inventory transfers, and monthly reconciliations to ensure levels are accurate by location. Troubleshoot customer shipping inquiries in conjunction with Customer Support. Be responsible for all outgoing and incoming shipments (small parcel, LTL and FTL). Manage all cross-border shipping, customs documents, broker management, and ensure up-to-date HS codes.  To succeed, you will need: Proficiency in Microsoft Office (Excel, PowerPoint, Word, Outlook). Broad knowledge of global supply chain manufacturing, and material planning, including principles, practices, and software.  Bachelor's degree in supply chain management or related field. Experience as a Supply Chain Manager in the consumer electronics or CPG industry is preferred. Skilled in demand forecasting and inventory management. Possess strong communication skills and attention to detail.  What we offer: Attractive salary packages commensurate with industry standards. Comprehensive benefits package covering health, dental, and more.  Engage in a collaborative and innovative work environment that nurtures creativity and teamwork. Team-building socials and activities throughout the year. Enjoy paid time off including our yearly holiday shutdown and flexible work arrangements to maintain a work-life balance. Access to ongoing professional development opportunities, fostering career growth.  If you are a results-oriented, strategic thinker with a passion for technology and a strong background in supply chain management, we encourage you to apply for this exciting opportunity. Join us in shaping the future of outdoor lawn care at OtO Lawn. We are an equal opportunity employer, actively encouraging candidates from traditionally underrepresented groups to apply. Our workplace fosters inclusivity and is free from discrimination. We strongly believe that diverse experiences, perspectives, and backgrounds contribute to a better environment for our employees and a superior product for our users."
Supply Chain Coordinator,Reimer Associates Inc.,"Mississauga, Ontario, Canada",Associate,4 days ago,Full-time,Strategy/Planning and Customer Service,"Transportation, Logistics, Supply Chain and Storage","Our client is a very successful logistics provider servicing Canada, USA and Mexico. Due to growth, they are looking to add a Supply Chain Coordinator to their team in Mississauga. The core responsibility of this position will be to coordinate the movement of shipments throughout Canada and North America. The right person will be a client focused, highly organized, detail oriented individual with the flexibility to perform a variety of tasks in a fast paced, time sensitive environment. In addition, the right person will be proactive, creative, solution oriented and have strong communication and computer skills. Experience in the logistics industry is considered an asset. A competitive compensation package is offered with this role."
Store Warehouse Supervisor,Traction Heavy Duty Parts,"Ottawa, Ontario, Canada",Entry level,3 days ago,Full-time,Management and Manufacturing,Retail,"Company DescriptionBe part of a community of authentic, proud and trusted peopleAt UAP, we believe we don’t just deliver car and heavy vehicle parts all around the country; we also help keep Canadians moving forward. This makes for a special kind of workplace. We have the experience and strength of our 100-year legacy and the desire to always do better for our team members and clients. Our 5000 colleagues proudly serve thousands of customers every day across Canada.If the hat fits, we’d be proud to have you wear it! Send us your resume and join a people-centric company with a reputation of excellence.Job DescriptionTRACTION Ottawa, ON is looking for a Store Warehouse Supervisor with Benefits This position pays starting from $21.45 hour plus $1.75/h bonus + benefits, paid time off, an awesome discount on parts and many other great benefits!The incumbent plays an important role in helping the store to reach its goals in terms of sales and customer service.Reporting to the Store Manager, the chosen candidate will:lead the entire back store warehouse team (shipping & receiving, dispatching, parts handling, and delivery management, etc); coordinate the operation of the shipping/receiving department, handling clerks, and drivers; not only make sure that the shipping and receiving of products are done efficiently, but also ensure that the merchandise is properly handled in order to comply with UAP’s operations and customer service standards; ensure that the returns from customers are duly processed and issue the corresponding credit notes to the customers. QualificationsTo join our team, you need: Experience or knowledge of the automobile market or auto parts suppliers. A minimum of 3 years of work experience as a dispatcher including 1 year of supervising experience. High school diploma or GED required; post-secondary, an asset. Bilingualism could be an asset or may be required depending on the geographical location. Proficient in computer programs: Microsoft Office and delivery management programs. Additional InformationYour benefits along the way:Flexible group insurance program: health, drug, dental and lifePension planCorporate discounts on the purchase of parts, car dealerships and at fitness centersTuition reimbursement under certain conditionsPayroll savings programAccess to the online training centerWork with great teammates who have the same passion as youUAP is a diverse community that promotes inclusion and respect. The sum of our individual differences, experiences, knowledge, self-expression, unique capabilities, and talents, represents the richness of our culture. During the selection process, let us know if you need any accommodations. This information will be kept entirely confidential and will only be used to ensure you have a fair and pleasant experience with usWe will contact you as soon as possible if we think we have the hat for you!"
Warehouse Manager,O'Dell HVAC Group,"Waterloo, Ontario, Canada",Mid-Senior level,1 day ago,Full-time,"Supply Chain, Strategy/Planning, and Distribution",HVAC and Refrigeration Equipment Manufacturing,"O’Dell HVAC Group is a well-established heating, ventilating, and air conditioning (HVAC) equipment representative that works across Ontario with engineers, building owners, mechanical and sheet metal contractors in both commercial and industrial settings.Core Focus, Vision & Culture:At O’Dell HVAC Group our purpose and passion is to build trusted relationships and deliver value focused HVAC solutions.Our vision is to become the premier HVAC solutions provider across Canada by shaping the industry through innovative solutions and a customer-first approach.Our success is fueled by our people. We offer our employees a work environment that reflects our core values and motivates employees to be their best. We want to mentor and train our employees to help their career growth and we have a family atmosphere that is supportive and centered around teamwork and collaboration.Our commitment to Diversity, Equity, and Inclusion:We embrace diversity, equity, and inclusion and know that it drives innovation and better positions us for success in the future.What you’ll be doing:We are currently seeking an experienced Warehouse Manager to oversee our centralized warehouse operations. The Warehouse Manager will be responsible for managing inventory, optimizing storage space, and coordinating logistics to ensure efficient distribution of products to our various locations. The ideal candidate will have a proven track record of success in warehouse management and a strong understanding of supply chain principles. You will also:Manage inventory levels and ensure accuracy through regular cycle counts and audits.Develop and implement inventory management policies and procedures to optimize storage space and minimize carrying costs.Coordinate with suppliers and logistics partners to ensure timely delivery of products to our centralized warehouse.Supervise warehouse staff, including hiring, training, and performance management.Monitor and analyze warehouse performance metrics to identify areas for improvement and implement solutions to increase efficiency and reduce costs.Ensure compliance with all relevant regulations and standards, including safety regulations and quality standards.Collaborate with other departments, such as Project Management, Sales, and Freight & Logistics, to forecast demand and plan inventory levels accordingly.Implement and maintain warehouse management software to track inventory levels, shipments, and other key metrics.This role is responsible for 2 central warehouses and 5 smaller satellite warehouses.Travel required to all office locations to facilitate personnel management.Who you are:Degree in Supply Chain management, or a related field, or equivalent experience in warehouse managementMinimum of 7 years of experience in warehouse management or a similar role.Proven leadership in a warehouse settingStrong communication skills.Excellent organizational and time management abilities.Proficiency in warehouse management software and Microsoft Office Suite.Knowledge of supply chain principles and best practices.Ability to work effectively in a fast-paced and dynamic environment.Experience with lean manufacturing principles (preferred).Must have an Ontario issued, valid G licenseForklift certification (preferred)Ability to work individually, but also in a team environment to leverage collaborationInnovative mindset to drive process efficienciesExperience being part of a joint health & safety committee is preferredWhy work at O’Dell Associates:Competitive wages based on experienceComplete Benefits packageRRSP employee contribution planProfit sharing based on O’Dell performanceCompany sponsored professional affiliations (OACETT, CPSA, ASHRAE etc.)Professional development: we strongly value training & development and career growth opportunities for our employeesSummer Fridays -in the summer we take Friday afternoons off!We do a paid company-wide shutdown during the holiday season to enjoy extra time offHybrid work – we offer a flexible work environment that allows you to work both in the office and at homeAccommodationYour accessibility is important to us. In accordance with AODA and the Ontario Human Rights Code, O’Dell Associates will provide accommodations to applicants with disabilities throughout the entire recruitment process. Please inform us of the nature of any accommodation(s) that you may require."
Warehouse & Materials Supervisor - Manufacturing,Confidential,"London, Canada Metropolitan Area",Mid-Senior level,1 week ago,Full-time,"Supply Chain, Manufacturing, and Management","Industrial Machinery Manufacturing and Transportation, Logistics, Supply Chain and Storage","We have an immediate opening for an experienced Warehouse & Materials Supervisor for our manufacturing team in London, Ontario. Our ideal candidate will have full responsibility to manage the daily activities of the warehouse including all materials management for the plant.KEY RESPONSIBILITIES:Measure and report on the effectiveness of the Warehouse and Materials activitiesImprove warehouse and materials movement practices to create a more efficient and cost-effective order fulfillment processMaintain 5S standards and ensure employees are performing tasks safely and in accordance with company policies and applicable legislationManage budgets and ensure company goals are achievedPlan and maintain staffing levels and shift schedules to achieve plant objective and budgetsProvide regular coaching, feedback and effective training to staff for skill development, growth, and performance improvement to support a high-performance work cultureManage inbound/outbound logistics, material movement, cycle counts, etc. to deliver business KPI’s and objectivesProvide support/direction to the warehouse team (shipping, receiving, material handlers)Demonstrate continuous improvement by reducing process waste/NVACommunicate and co-ordinate activities with other departments, as requiredEnsure the timely, efficient, and cost-effective shipping of product to customersMaintain accurate shipping documentation, manifests, and receipts; enter relevant data into ERP system and generate reports, as requiredConduct regular cycle counts & implement permanent corrective actions for any discrepanciesMaximize “picking” efficiency and ensure that material FIFO is maintainedConduct vendor audits to ensure inbound material from suppliers is accurateQUALIFICATIONS:Post Secondary education in Supply Chain/Materials Management or relevant experience5 years’ experience in a related management positionExperience with lean manufacturing, warehouse and order fulfillment processesAdvanced knowledge of MS Office products, ERP systemsExcellent communication, interpersonal and management skillsAbility to resolve operational and people problems in a courteous mannerTeam player with the ability to communicate effectively with people at all levels"
Warehouse Person,Doman Building Materials Group,"Dartmouth, Nova Scotia, Canada",Entry level,3 days ago,Full-time,Management and Manufacturing,Building Materials,"DescriptionWarehouse PersonDartmouth, NSFull-Time2 PositionReference Number:  CAN-ATL-DAR-022-310124Doman Building Materials is a busy place to work as a Warehouse Person. We operate in a fast pace; distribution environment, supplying various lumber and building material to customers across Canada.About The RoleYou will be responsible for efficiently and accurately picking products for customer orders, staging orders and loading outbound customer trucks, receiving inventory from suppliers, and receiving and restocking customer returns.About YouSafety is the number one focus while you unload materials from delivery trucks and store the materials in the appropriate places in the warehouse and yard. You will process receiving tallies and packing slips and conduct spot inventory counts.Keeping a keen eye on meeting our customers' needs, you will assist by loading orders onto delivery trucks and receiving and restocking inventory returns.You prefer to work in a clean and organized warehouse and will perform daily preventative maintenance checks on lift trucks and other equipment.You also see the glass as half full, not half empty. If this describes you, check us out!RequirementsSKILLS YOU NEED TO HAVECertification in the following equipment is desirable: counterbalance forklift. Doman is willing to train in-house. Minimum one-year warehouse experience and be familiar with order picking process. Must have own steel-toed boots. Able to lift heavy items regularly. Regularly bending, lifting, and reaching during course of shift. EDUCATION: High school diploma an assetBenefitsCOMPENSATION AND BENEFITSCompetitive hourly rateHealth benefitsCompany pension planAnnual incentive planOther Work-related BenefitsFitness reimbursementCommuting expense reimbursement: 100% transitEducation reimbursementProfessional Development reimbursementScholarships for childrenDiscounts on product purchasesEmployee referral bonus Annual Service AwardsWork Location: 70 Simmonds Drive, Dartmouth, NS B3B 1P6Hours of WorkTypically Monday to Friday, 8:00am to 4:30pmMust be flexible with start and finish timesNote: Hours may change due to operational requirements. Hot and dry and cold and wet. Working Conditions: Able to tolerate outdoor working conditionsDoman welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.Applicants must be legally entitled to work in Canada without sponsorship.We thank you for your interest; however, only those selected for an interview will be contacted.IND-CWSJ"
Warehouse Person,Doman Building Materials Group,"City of Langley, British Columbia, Canada",Entry level,1 day ago,Full-time,Management and Manufacturing,Building Materials,"DescriptionWarehouse PersonLangley, BCPermanent Full-TimeReference Number: CAN-BC-LAN-012-260124SummaryReporting to the Operations Manager/Supervisor, the Warehouse Person is responsible for efficiently and accurately assembling products for customer orders, loading orders onto customers’ trucks, receiving inventory from suppliers, and receiving and restocking customer returns.Expected ContributionsUnloads building material supplies safely and promptly from delivery trucks, and properly places in the warehouse. Accurately, efficiently, and safely picks and assembles customer orders. Processes receiving tallies and packing slips without delay. Assists customers by loading orders onto delivery trucks. Conducts spot inventory counts. Receives and restocks inventory returns. Maintains a clean and organized warehouse. Adheres to all work safety rules and regulations. Adheres to customer service commitments. RequirementsKnowledge, Skills, and AbilitiesCertification in the following equipment is nice to have: Counterbalance Forklift. Doman is willing to train in-house. Must have own steel-toed boots. Minimum one-year warehouse experience and be familiar with order picking process. Able to lift up to 50 pounds or 23 kilograms occasionally. Bending, lifting, and reaching during course of shift. Receiving experience an assetBenefitsCompensation and BenefitsCompetitive hourly rateHealth benefitsWork Location: 5350 - 275th Street Langley, BCPlease Note: There is no access to this location by public transitHours of WorkDays of Work: Mondays to FridaysDaytime hours: 7:30am to 4:00pmNote:  Hours may change due to operational requirements.Working Conditions:  Able to tolerate outdoor working conditionsDoman welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.Applicants must be legally entitled to work in Canada without sponsorship.We thank you for your interest; however, only those selected for an interview will be contacted.IND-CWSJ"
Senior Buyer,Wesdome Gold Mines,"Sault Ste. Marie, Ontario, Canada",Mid-Senior level,1 week ago,Full-time,Purchasing and Supply Chain,Mining,"Summary Reporting to the Warehouse and Procurement General Foreman, the Senior Buyer is a key member of the site Finance team. The position is based out of the Sault Ste. Marie Office supporting the Eagle River Mine. POSITION RESPONSIBILITIESAccountabilities and duties will include but not limited to the following:Assist where necessary, with the purchases of materials, equipment and / or supplies.Maintain contract documentation and support contract management throughout the timeline of the service.Develop and foster successful, long-term relationships with stakeholders and key suppliers.Administer, coordinate and process purchasing instruments (i.e. contracts, purchase orders, etc.) for goods and services. Ensure consistency and compliance with terms and conditions, governing legislation, procurement and contracting policies, guidelines, procedures and signing authorities.Assist in the training of all new SAP requisitioners and approvers.Maintain the confidentiality of all Corporation information.Maintain safe working conditionsCoordinating and assisting in the timely delivery and administration of procurement and construction contracts.Facilitate and assist in the entire RFP process, including the development of vendor lists, selection criteria, service, and material requirements, bid file documentation, bid evaluation, negotiation with suppliers/contractors, adjudication of the tender processes and contract management.Ensure compliance with established strategies, contracts, policies, and procedures.Perform other duties as assigned and required.Qualifications & ExperienceBachelor’s degree in Business, Supply Chain, Finance or related field.Minimum of 5+ years relevant work experience in procurement and contracts in the mining sector. (Asset)Ability to solve problems and think criticallyAdvanced computer skills with expertise in spreadsheets and Microsoft Office suiteWell-organized with the ability to meet tight deadlines and demandsSAP experience would be an assetThe individual should have demonstrated a high level of energy, self-motivation, and strong organizational skills.Excellent inter-personal skills together with an ability to facilitate commitment to a cooperative team effort.Good communication skills, both orally and written with both internal and external contacts and the ability to work with all levels of the organization.Basic understanding of general commercial contracting regulations and principles and subcontracting practicesBasic knowledge and understanding of legal principles as they relate to commercial and contract managementWORK CONDITIONSLocation: Sault Ste. Marie Office Travel to mine site will be required regularly (Approximately 4 days per month)We wish to thank all applicants for their interest and effort in applying for the position. However, only candidates selected for interviews will be contacted. APPLICATION PROCESS Email: HR.Resumes.Eagle@wesdome.comWesdome prides itself on being an equal opportunity employer committed to responsible mining practices and building a diverse and inclusive workforce. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, disability, or Aboriginal status.Wesdome is committed to accessibility for people with disabilities. We will work with applicants requesting accommodation at any stage of the recruitment and selection process. If you require accommodations, please contact us at Wesdome Gold Mines Ltd. - People & Careers - Accessibility In accordance with the Accessibility for Ontarians with Disabilities Act, 2005 (the “Act”), Wesdome is committed to hosting and maintaining an accessible environment. To be eligible for this position, you must be legally permitted to work in Canada without any additional sponsorship support from Wesdome."
